YEAR,FIPS,PLACE,GEO_ID,NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M
2018,600212,Acton,6037910205,Census Tract 9102.05,91,42,0,12,29,33,0,12,28,35,10,17,0,12,0,12,0,12,24,22,0,12,91,42,0,12,0,12,0,12,0,12,0,12,0,12,0,12,28,29,0,12,20,31,0,12,0,12,8,14,0,12,56,40,29,33,8,13,10,17,0,12,9,13,0,12,7,10,0,12,0,12,0,12,0,12,7,10,0,12
2018,600212,Acton,6037910804,Census Tract 9108.04,74,38,0,12,0,12,13,19,8,13,0,12,0,12,0,12,0,12,29,22,24,25,74,38,0,12,0,12,0,12,0,12,0,12,0,12,0,12,24,25,0,12,0,12,0,12,0,12,0,12,24,25,50,29,13,19,8,13,0,12,0,12,29,22,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2018,600212,Acton,6037910805,Census Tract 9108.05,158,93,0,12,40,44,10,16,9,16,0,12,9,14,0,12,13,20,51,57,26,41,158,93,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,145,89,50,46,9,16,0,12,9,14,51,57,26,41,13,20,0,12,0,12,0,12,0,12,13,20,0,12
2018,600212,Acton,6037910812,Census Tract 9108.12,20,17,0,12,4,6,0,12,0,12,0,12,9,14,0,12,3,4,4,6,0,12,20,17,3,4,0,12,0,12,0,12,0,12,3,4,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,17,17,4,6,0,12,0,12,9,14,4,6,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2018,600212,Acton,6037910813,Census Tract 9108.13,89,44,0,12,17,20,0,12,9,15,0,12,0,12,0,12,8,13,21,23,34,21,89,44,0,12,0,12,0,12,0,12,0,12,0,12,0,12,26,25,17,20,0,12,0,12,0,12,0,12,9,14,54,36,0,12,9,15,0,12,0,12,29,26,16,15,9,14,0,12,0,12,0,12,0,12,0,12,9,14
2018,600394,Agoura Hills,6037800324,Census Tract 8003.24,326,139,0,17,9,16,57,65,101,100,69,67,0,17,34,53,29,34,27,33,0,17,326,139,0,17,0,17,0,17,0,17,0,17,0,17,0,17,101,91,16,27,51,79,19,28,0,17,15,26,0,17,184,103,50,59,50,58,50,60,0,17,34,53,0,17,41,39,0,17,0,17,0,17,0,17,41,39,0,17
2018,600394,Agoura Hills,6037800326,Census Tract 8003.26,363,97,28,24,11,16,62,56,39,50,7,12,26,24,0,12,53,57,90,56,47,55,363,97,0,12,0,12,0,12,0,12,0,12,0,12,0,12,88,73,21,16,0,12,0,12,0,12,34,54,33,51,197,75,30,26,39,50,7,12,26,24,89,58,6,11,78,55,50,54,0,12,0,12,0,12,20,22,8,11
2018,600394,Agoura Hills,6037800327,Census Tract 8003.27,994,180,22,36,38,39,206,117,93,82,117,80,116,84,25,30,71,57,290,127,16,24,994,180,39,31,0,17,0,17,0,17,0,17,39,31,0,17,197,131,133,103,0,17,17,28,16,25,31,34,0,17,653,157,133,89,93,82,100,73,52,42,259,128,16,24,105,81,0,17,0,17,0,17,48,74,57,40,0,17
2018,600394,Agoura Hills,6037800328,Census Tract 8003.28,482,99,5,10,76,66,41,33,45,30,52,37,19,21,41,32,87,68,116,66,0,12,482,99,68,48,0,12,17,18,15,18,0,12,36,42,0,12,126,73,77,62,17,18,9,14,0,12,23,27,0,12,288,79,45,34,11,16,28,30,19,21,185,78,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2018,600394,Agoura Hills,6037800329,Census Tract 8003.29,1087,156,21,34,47,43,70,72,62,50,123,88,48,48,0,17,91,94,535,168,90,90,1087,156,162,86,0,17,13,21,0,17,0,17,100,83,49,76,225,127,0,17,0,17,25,29,10,17,167,131,23,34,571,154,123,90,34,38,98,85,23,35,275,130,18,29,129,70,15,25,15,25,0,17,15,25,84,55,0,17
2018,600394,Agoura Hills,6037800332,Census Tract 8003.32,171,110,0,17,0,17,9,15,0,17,12,18,29,33,0,17,9,15,69,95,43,47,171,110,0,17,0,17,0,17,0,17,0,17,0,17,0,17,9,15,9,15,0,17,0,17,0,17,0,17,0,17,138,107,0,17,0,17,12,18,14,23,69,95,43,47,24,28,0,17,0,17,0,17,15,24,9,15,0,17
2018,600450,Agua Dulce,6037910804,Census Tract 9108.04,74,38,0,12,0,12,13,19,8,13,0,12,0,12,0,12,0,12,29,22,24,25,74,38,0,12,0,12,0,12,0,12,0,12,0,12,0,12,24,25,0,12,0,12,0,12,0,12,0,12,24,25,50,29,13,19,8,13,0,12,0,12,29,22,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2018,600450,Agua Dulce,6037910808,Census Tract 9108.08,79,48,0,12,0,12,7,12,0,12,12,18,33,34,0,12,8,12,15,23,4,9,79,48,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,71,46,7,12,0,12,12,18,33,34,15,23,4,9,8,12,0,12,0,12,0,12,0,12,8,12,0,12
2018,600450,Agua Dulce,6037910810,Census Tract 9108.10,50,39,0,12,0,12,14,14,0,12,0,12,0,12,22,25,0,12,14,22,0,12,50,39,0,12,0,12,0,12,0,12,0,12,0,12,0,12,21,24,7,10,0,12,0,12,0,12,14,22,0,12,29,28,7,10,0,12,0,12,0,12,22,25,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2018,600450,Agua Dulce,6037910813,Census Tract 9108.13,89,44,0,12,17,20,0,12,9,15,0,12,0,12,0,12,8,13,21,23,34,21,89,44,0,12,0,12,0,12,0,12,0,12,0,12,0,12,26,25,17,20,0,12,0,12,0,12,0,12,9,14,54,36,0,12,9,15,0,12,0,12,29,26,16,15,9,14,0,12,0,12,0,12,0,12,0,12,9,14
2018,600884,Alhambra,6037480302,Census Tract 4803.02,1108,128,67,43,94,68,94,36,68,39,128,56,110,68,49,34,102,63,370,119,26,33,1108,128,51,50,0,12,0,12,27,41,9,13,8,12,7,11,255,91,66,43,16,19,9,15,19,21,145,84,0,12,546,122,151,79,52,37,28,24,82,62,214,84,19,31,256,75,38,30,0,12,64,32,0,12,154,74,0,12
2018,600884,Alhambra,6037480303,Census Tract 4803.03,1076,88,11,19,133,76,106,57,117,68,43,29,73,41,102,74,142,73,318,88,31,31,1076,88,20,27,0,12,0,12,0,12,0,12,4,8,16,26,299,96,104,65,59,46,9,13,7,11,120,65,0,12,622,87,109,48,58,51,34,26,57,37,349,91,15,18,135,77,37,58,0,12,0,12,9,14,89,59,0,12
2018,600884,Alhambra,6037480304,Census Tract 4803.04,1597,109,39,39,152,67,163,73,102,50,164,79,121,61,115,64,166,87,506,120,69,43,1597,109,86,56,0,12,0,12,0,12,0,12,58,46,28,27,330,89,182,76,19,21,45,44,30,31,46,36,8,12,834,120,149,72,83,44,86,48,62,53,430,106,24,29,347,80,23,26,0,12,33,26,29,26,253,88,9,14
2018,600884,Alhambra,6037480400,Census Tract 4804,1285,213,0,17,128,104,198,119,165,111,99,89,53,52,164,97,117,73,265,126,96,66,1285,213,15,27,0,17,0,17,0,17,0,17,15,27,0,17,263,134,60,73,15,25,49,78,15,24,112,87,12,20,778,169,233,120,133,104,32,37,20,33,276,109,84,64,229,100,33,36,17,27,18,29,18,30,143,86,0,17
2018,600884,Alhambra,6037480500,Census Tract 4805,747,139,0,17,119,83,132,73,132,73,55,46,95,55,17,29,64,62,133,83,0,17,747,139,36,49,36,49,0,17,0,17,0,17,0,17,0,17,162,85,13,20,38,36,28,33,15,26,68,67,0,17,481,142,202,104,78,59,27,31,66,47,108,81,0,17,68,48,0,17,16,24,0,17,14,22,38,36,0,17
