YEAR,FIPS,PLACE,GEO_ID,NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M
2016,600212,Acton,6037910205,Census Tract 9102.05,92,56,0,12,26,39,0,12,36,39,0,12,6,10,0,12,0,12,24,23,0,12,92,56,0,12,0,12,0,12,0,12,0,12,0,12,0,12,30,38,0,12,30,38,0,12,0,12,0,12,0,12,62,49,26,39,6,10,0,12,6,10,24,23,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2016,600212,Acton,6037910804,Census Tract 9108.04,101,67,0,12,0,12,0,12,15,23,11,18,0,12,8,13,0,12,12,18,55,61,101,67,0,12,0,12,0,12,0,12,0,12,0,12,0,12,63,61,0,12,0,12,0,12,0,12,8,13,55,61,38,35,0,12,15,23,11,18,0,12,12,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2016,600212,Acton,6037910805,Census Tract 9108.05,232,106,0,12,15,16,45,51,10,17,0,12,48,52,0,12,0,12,90,75,24,39,232,106,0,12,0,12,0,12,0,12,0,12,0,12,0,12,47,56,18,29,0,12,0,12,0,12,29,48,0,12,185,89,42,43,10,17,0,12,48,52,61,59,24,39,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2016,600212,Acton,6037910812,Census Tract 9108.12,18,17,0,12,0,12,0,12,0,12,0,12,10,16,0,12,3,5,5,7,0,12,18,17,3,5,0,12,0,12,0,12,0,12,3,5,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,15,17,0,12,0,12,0,12,10,16,5,7,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2016,600212,Acton,6037910813,Census Tract 9108.13,101,55,0,12,13,22,0,12,14,22,0,12,0,12,10,16,13,19,19,21,32,24,101,55,0,12,0,12,0,12,0,12,0,12,0,12,0,12,22,27,13,22,0,12,0,12,0,12,0,12,9,15,70,46,0,12,14,22,0,12,0,12,42,33,14,22,9,14,0,12,0,12,0,12,0,12,0,12,9,14
2016,600394,Agoura Hills,6037800324,Census Tract 8003.24,361,120,0,17,66,77,17,25,81,78,65,71,0,17,50,76,8,15,74,59,0,17,361,120,0,17,0,17,0,17,0,17,0,17,0,17,0,17,66,62,17,25,37,56,0,17,0,17,12,19,0,17,272,128,66,77,44,52,65,71,0,17,97,72,0,17,23,28,0,17,0,17,0,17,0,17,23,28,0,17
2016,600394,Agoura Hills,6037800326,Census Tract 8003.26,405,120,32,29,10,16,98,65,39,47,18,24,44,47,0,17,35,30,91,71,38,45,405,120,8,13,0,17,0,17,0,17,0,17,8,13,0,17,74,61,23,25,0,17,0,17,25,41,0,17,26,41,267,97,71,50,39,47,18,24,19,21,108,73,12,17,56,40,46,40,0,17,0,17,0,17,10,16,0,17
2016,600394,Agoura Hills,6037800327,Census Tract 8003.27,915,154,0,17,53,46,104,77,73,68,90,56,131,89,9,17,20,24,424,162,11,17,915,154,37,28,0,17,0,17,0,17,9,14,28,24,0,17,174,105,54,60,0,17,30,34,42,55,48,60,0,17,575,163,89,63,73,68,45,35,39,40,318,155,11,17,129,79,14,24,0,17,15,25,41,63,59,48,0,17
2016,600394,Agoura Hills,6037800328,Census Tract 8003.28,500,81,0,12,0,12,25,21,41,31,68,64,54,50,42,32,130,74,133,73,7,11,500,81,58,38,0,12,15,18,0,12,25,31,11,18,7,11,82,44,10,13,18,21,7,11,22,36,25,22,0,12,360,93,15,19,8,13,61,64,7,11,269,83,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2016,600394,Agoura Hills,6037800329,Census Tract 8003.29,1017,194,0,17,14,24,69,72,74,53,148,101,94,68,44,40,197,135,320,158,57,82,1017,194,107,90,0,17,12,19,0,17,0,17,95,89,0,17,234,155,0,17,0,17,65,77,8,13,111,112,50,81,620,155,83,78,41,40,83,65,72,60,334,143,7,14,56,50,0,17,21,32,0,17,14,23,21,33,0,17
