YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2016,6037274202,Census Tract 2742.02,Marina del Rey,Los Angeles County,California,MarinadelRey,1309,191,110,76,159,121,218,106,288,143,114,102,161,137,81,85,109,71,42,32,27,31,1309,191,10,16,0,12,10,16,0,12,0,12,0,12,0,12,389,163,117,72,61,93,101,100,73,91,37,46,0,12,784,183,298,142,205,118,13,22,88,101,153,109,27,31,126,51,72,60,12,20,0,12,0,12,42,68,0,12,30.02,0.0,28.28,30.74,33.33,3.21,0.0%,28.28%,30.74%,33.33%,1
2016,6037702901,Census Tract 7029.01,Marina del Rey,Los Angeles County,California,MarinadelRey,5159,390,179,142,353,177,345,183,674,233,734,273,525,271,341,163,649,256,1113,308,246,192,5159,390,201,150,0,17,29,46,89,104,0,17,39,63,44,72,1441,368,166,129,290,169,176,119,263,242,525,246,21,35,2719,448,663,248,247,126,441,226,107,81,1177,366,84,92,798,228,48,62,108,113,28,44,155,102,362,151,97,100,50.94,19.4,54.68,47.22,64.79,21.57,19.4%,54.68%,47.22%,64.79%,1
2018,6037274202,Census Tract 2742.02,Marina del Rey,Los Angeles County,California,MarinadelRey,1063,194,175,102,133,107,123,69,88,63,130,118,135,102,145,102,77,80,47,46,10,17,1063,194,8,16,0,12,8,16,0,12,0,12,0,12,0,12,214,99,108,82,17,28,38,51,40,62,11,18,0,12,691,179,295,136,50,49,92,102,95,86,149,95,10,17,150,89,28,33,13,20,0,12,0,12,109,92,0,12,38.01,0.0,23.83,35.31,72.67,4.42,0.0%,23.83%,35.31%,72.67%,1
2018,6037702901,Census Tract 7029.01,Marina del Rey,Los Angeles County,California,MarinadelRey,5176,370,169,131,392,179,440,208,634,235,760,298,521,223,164,114,670,299,1261,335,165,128,5176,370,199,132,67,81,45,53,0,17,0,17,42,67,45,72,1489,364,169,137,296,192,197,168,252,174,575,215,0,17,2874,414,631,213,252,145,518,246,182,116,1246,423,45,53,614,223,134,112,41,47,45,51,87,84,232,140,75,94,50.54,21.11,55.54,49.69,51.95,24.36,21.11%,55.54%,49.69%,51.95%,1
2021,6037274202,Census Tract 2742.02,Marina del Rey,Los Angeles County,California,MarinadelRey,1093,291,144,102,195,159,123,128,43,41,150,114,86,73,134,135,20,33,183,137,15,24,1093,291,0,13,0,13,0,13,0,13,0,13,0,13,0,13,280,152,110,95,9,19,50,53,29,48,82,100,0,13,637,239,337,207,20,26,100,101,57,54,123,100,0,13,176,125,15,25,14,22,0,13,0,13,132,116,15,24,38.7,,39.64,28.26,75.0,16.74,Not Available,39.64%,28.26%,75.0%,1
2021,6037702900,Census Tract 7029,Marina del Rey,Los Angeles County,California,MarinadelRey,4790,586,74,88,463,258,658,374,490,257,793,417,309,213,224,162,431,261,1324,476,24,39,4790,586,477,374,74,88,20,32,193,303,0,19,190,199,0,19,1061,352,236,151,117,112,143,140,79,98,486,279,0,19,2889,602,765,425,327,244,431,207,223,197,1119,396,24,39,363,184,120,102,26,43,26,44,7,15,184,127,0,19,47.77,39.83,53.25,46.45,52.62,27.64,39.83%,53.25%,46.45%,52.62%,1
2010,6037274202,Census Tract 2742.02,Marina del Rey,Los Angeles County,California,MarinadelRey,1137,185,98,90,92,50,126,86,196,122,130,77,73,58,106,62,97,82,186,97,33,37,1137,185,43,41,0,132,0,132,16,27,0,132,12,19,15,25,220,87,64,57,64,51,0,132,17,27,75,76,0,132,627,172,215,127,98,100,52,49,40,43,204,80,18,28,247,92,37,43,34,39,62,50,16,26,98,80,0,132,40.63,27.91,41.82,38.92,46.15,16.36,27.91%,41.82%,38.92%,46.15%,1
2010,6037702901,Census Tract 7029.01,Marina del Rey,Los Angeles County,California,MarinadelRey,5379,349,218,121,385,149,562,181,814,227,646,190,670,200,344,125,276,130,1294,250,170,104,5379,349,202,95,0,132,10,15,0,132,12,19,180,91,0,132,1445,247,246,116,243,121,187,107,197,119,529,171,43,38,3131,292,814,217,451,165,372,143,423,162,958,237,113,94,601,138,105,71,110,78,87,49,38,36,247,84,14,22,48.04,95.05,50.24,44.11,47.42,24.06,95.05%,50.24%,44.11%,47.42%,1
2015,6037274202,Census Tract 2742.02,Marina del Rey,Los Angeles County,California,MarinadelRey,1152,229,77,66,76,85,205,90,200,125,149,119,202,150,74,77,99,63,46,38,24,29,1152,229,0,12,0,12,0,12,0,12,0,12,0,12,0,12,353,182,95,75,69,98,75,98,78,98,36,41,0,12,628,229,197,123,119,95,63,71,92,95,133,84,24,29,171,85,66,58,12,18,11,18,32,53,50,65,0,12,36.55,,32.29,35.83,47.95,3.99,Not Available,32.29%,35.83%,47.95%,1
2015,6037702901,Census Tract 7029.01,Marina del Rey,Los Angeles County,California,MarinadelRey,4907,415,154,138,283,173,404,166,765,278,835,323,419,226,389,208,599,240,841,267,218,141,4907,415,265,172,0,17,32,53,92,107,0,17,79,91,62,79,1153,294,89,74,185,118,179,124,180,183,499,221,21,36,2670,437,648,235,399,206,501,264,138,105,893,284,91,97,819,170,104,83,149,129,63,75,101,86,358,153,44,50,45.81,29.81,58.89,38.61,56.04,17.14,29.81%,58.89%,38.61%,56.04%,1
2020,6037274202,Census Tract 2742.02,Marina del Rey,Los Angeles County,California,MarinadelRey,1181,291,151,96,256,180,143,132,167,108,138,129,99,86,145,140,21,33,61,98,0,13,1181,291,11,18,0,13,11,18,0,13,0,13,0,13,0,13,297,134,131,97,11,19,73,71,27,42,55,88,0,13,780,275,404,216,129,104,65,104,72,77,110,114,0,13,93,105,15,24,16,25,0,13,0,13,62,99,0,13,27.6,0.0,27.61,23.33,66.67,5.17,0.0%,27.61%,23.33%,66.67%,1
2020,6037702900,Census Tract 7029,Marina del Rey,Los Angeles County,California,MarinadelRey,5376,680,100,85,362,159,589,341,515,205,1076,504,420,253,258,166,649,246,1335,445,72,87,5376,680,431,455,51,62,17,28,282,436,0,21,81,92,0,21,1241,357,157,112,231,146,192,171,227,195,434,207,0,21,3140,531,757,347,225,119,573,194,122,93,1440,430,23,36,564,235,86,69,42,66,29,47,71,97,287,190,49,80,49.52,18.79,53.26,49.75,63.48,24.83,18.79%,53.26%,49.75%,63.48%,1
2013,6037274202,Census Tract 2742.02,Marina del Rey,Los Angeles County,California,MarinadelRey,1152,201,37,37,115,97,198,103,258,138,200,121,153,112,44,40,32,37,75,71,40,37,1152,201,25,30,0,12,0,12,13,21,0,12,0,12,12,20,314,138,76,71,76,57,55,79,51,65,56,67,0,12,659,190,218,109,169,125,108,92,55,73,81,52,28,31,154,92,56,61,13,20,24,29,47,59,14,22,0,12,26.39,0.0,34.08,20.64,39.61,6.51,0.0%,34.08%,20.64%,39.61%,1
2013,6037702901,Census Tract 7029.01,Marina del Rey,Los Angeles County,California,MarinadelRey,5044,334,118,110,319,166,531,192,795,248,819,254,479,188,503,224,438,187,899,277,143,87,5044,334,235,152,0,17,10,18,103,119,11,18,93,84,18,30,1182,278,159,98,168,94,226,126,173,131,418,163,38,42,2975,374,734,232,528,227,410,182,268,151,985,293,50,70,652,226,75,64,89,92,80,70,27,43,344,159,37,43,45.98,44.26,50.0,42.12,56.9,17.82,44.26%,50.0%,42.12%,56.9%,1
2011,6037274202,Census Tract 2742.02,Marina del Rey,Los Angeles County,California,MarinadelRey,1010,193,88,79,68,48,101,72,163,101,192,122,114,93,85,58,41,65,127,91,31,37,1010,193,41,38,0,95,0,95,15,23,0,95,12,18,14,25,165,90,29,34,77,53,0,95,0,95,59,75,0,95,589,186,228,108,57,76,109,112,59,55,119,62,17,28,215,103,0,95,29,39,68,49,55,71,63,70,0,95,36.34,29.27,35.76,30.22,54.88,12.57,29.27%,35.76%,30.22%,54.88%,1
2011,6037702901,Census Tract 7029.01,Marina del Rey,Los Angeles County,California,MarinadelRey,5267,301,182,92,329,127,572,183,954,240,658,215,627,211,344,137,276,123,1199,234,126,97,5267,301,209,105,0,95,14,22,0,95,11,17,167,99,17,28,1204,242,166,85,177,93,207,91,176,109,450,161,28,27,3221,337,792,209,612,213,361,179,414,173,974,227,68,77,633,161,125,71,151,97,90,65,26,30,228,100,13,21,46.44,85.17,51.99,43.09,40.13,22.76,85.17%,51.99%,43.09%,40.13%,1
2012,6037274202,Census Tract 2742.02,Marina del Rey,Los Angeles County,California,MarinadelRey,1029,200,28,33,109,88,131,91,192,112,186,121,146,100,44,42,69,70,96,78,28,32,1029,200,22,28,0,13,0,13,10,18,0,13,0,13,12,21,294,130,80,86,120,78,37,57,0,13,57,70,0,13,533,164,171,84,58,75,98,92,93,89,97,60,16,25,180,92,17,27,14,23,41,39,53,65,55,67,0,13,34.5,0.0,19.39,35.65,60.0,9.33,0.0%,19.39%,35.65%,60.0%,1
2012,6037702901,Census Tract 7029.01,Marina del Rey,Los Angeles County,California,MarinadelRey,5172,288,126,125,347,170,522,168,836,240,687,229,606,222,516,199,357,134,1001,267,174,122,5172,288,210,133,0,18,12,22,49,81,11,17,120,97,18,29,1236,264,182,106,201,109,164,106,242,153,418,157,29,37,3090,336,727,245,567,206,381,181,340,173,985,279,90,106,636,147,86,60,56,51,93,50,13,21,351,133,37,41,47.95,62.38,53.4,42.88,57.23,19.35,62.38%,53.4%,42.88%,57.23%,1
