YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2017,6037602801,Census Tract 6028.01,West Athens,Los Angeles County,California,WestAthens,907,87,10,17,28,39,69,60,82,64,30,35,159,86,48,51,80,52,397,111,4,7,907,87,0,12,0,12,0,12,0,12,0,12,0,12,0,12,212,104,0,12,0,12,21,33,82,83,109,67,0,12,616,137,102,82,82,64,5,8,73,75,354,105,0,12,79,40,5,9,0,12,4,6,4,9,62,39,4,7,75.41,,90.09,69.32,83.54,43.77,Not Available,90.09%,69.32%,83.54%,1
2017,6037602802,Census Tract 6028.02,West Athens,Los Angeles County,California,WestAthens,303,106,0,12,71,62,0,12,0,12,19,32,0,12,47,37,17,19,76,58,73,62,303,106,9,14,0,12,0,12,0,12,0,12,9,14,0,12,91,65,22,36,0,12,0,12,0,12,39,41,30,38,170,87,31,38,0,12,19,32,0,12,77,55,43,50,33,34,18,29,0,12,0,12,0,12,15,18,0,12,46.2,100.0,42.86,45.29,45.45,25.08,100.0%,42.86%,45.29%,45.45%,1
2019,6037602700,Census Tract 6027,West Athens,Los Angeles County,California,WestAthens,273,93,0,12,78,59,16,26,0,12,96,74,18,30,10,16,9,15,46,44,0,12,273,93,0,12,0,12,0,12,0,12,0,12,0,12,0,12,37,40,0,12,0,12,19,29,18,30,0,12,0,12,214,84,94,59,0,12,77,72,0,12,43,35,0,12,22,34,0,12,0,12,0,12,0,12,22,34,0,12,30.4,,48.65,20.09,100.0,16.85,Not Available,48.65%,20.09%,100.0%,1
2019,6037602801,Census Tract 6028.01,West Athens,Los Angeles County,California,WestAthens,824,88,29,33,17,29,17,22,34,39,86,66,101,71,63,58,36,35,417,105,24,30,824,88,0,12,0,12,0,12,0,12,0,12,0,12,0,12,194,90,0,12,0,12,57,51,51,52,69,50,17,28,533,106,63,47,34,39,23,39,22,37,391,105,0,12,97,55,0,12,0,12,6,11,28,30,56,44,7,11,74.88,,61.86,77.49,86.6,50.61,Not Available,61.86%,77.49%,86.6%,1
2019,6037602802,Census Tract 6028.02,West Athens,Los Angeles County,California,WestAthens,246,102,0,17,92,79,0,17,0,17,0,17,16,25,68,69,0,17,18,21,52,53,246,102,0,17,0,17,0,17,0,17,0,17,0,17,0,17,115,91,32,48,0,17,0,17,16,25,39,62,28,44,90,76,42,66,0,17,0,17,0,17,38,40,10,20,41,34,18,28,0,17,0,17,0,17,9,16,14,22,41.46,,47.83,42.22,21.95,7.32,Not Available,47.83%,42.22%,21.95%,1
2016,6037602700,Census Tract 6027,West Athens,Los Angeles County,California,WestAthens,247,83,0,12,32,47,24,27,0,12,28,40,13,22,24,26,19,21,107,62,0,12,247,83,5,8,0,12,0,12,0,12,0,12,5,8,0,12,19,30,0,12,0,12,0,12,0,12,19,30,0,12,198,77,56,54,0,12,28,40,13,22,101,57,0,12,25,27,0,12,0,12,0,12,0,12,25,27,0,12,65.99,100.0,100.0,57.58,100.0,43.32,100.0%,100.0%,57.58%,100.0%,1
2016,6037602801,Census Tract 6028.01,West Athens,Los Angeles County,California,WestAthens,916,86,7,11,44,48,68,53,92,60,25,34,140,83,60,58,131,78,342,97,7,11,916,86,0,12,0,12,0,12,0,12,0,12,0,12,0,12,208,86,0,12,21,35,21,33,55,63,111,73,0,12,583,116,113,79,71,58,4,8,75,56,320,101,0,12,125,57,6,9,0,12,0,12,10,16,102,52,7,11,73.47,,79.81,67.75,89.6,37.34,Not Available,79.81%,67.75%,89.6%,1
2016,6037602802,Census Tract 6028.02,West Athens,Los Angeles County,California,WestAthens,385,107,0,12,35,42,23,38,12,20,18,28,0,12,55,45,29,29,111,76,102,71,385,107,25,22,0,12,12,20,0,12,0,12,13,21,0,12,77,61,0,12,0,12,0,12,0,12,45,49,32,38,243,96,58,54,0,12,18,28,0,12,121,73,46,54,40,35,0,12,0,12,0,12,0,12,16,18,24,29,50.65,52.0,58.44,49.79,40.0,28.83,52.0%,58.44%,49.79%,40.0%,1
2018,6037602700,Census Tract 6027,West Athens,Los Angeles County,California,WestAthens,290,90,0,12,81,59,33,38,0,12,81,73,22,34,32,28,5,10,36,35,0,12,290,90,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,276,92,114,67,0,12,81,73,22,34,59,40,0,12,14,23,0,12,0,12,0,12,0,12,14,23,0,12,32.76,,,29.35,100.0,12.41,Not Available,Not Available,29.35%,100.0%,1
2018,6037602801,Census Tract 6028.01,West Athens,Los Angeles County,California,WestAthens,874,77,0,12,25,32,43,42,57,45,84,63,103,79,78,57,68,47,397,121,19,26,874,77,0,12,0,12,0,12,0,12,0,12,0,12,0,12,243,99,0,12,0,12,60,55,66,70,102,73,15,25,547,115,63,52,57,45,22,31,26,44,379,120,0,12,84,46,5,8,0,12,2,6,11,17,62,43,4,8,73.91,,69.14,74.04,86.9,45.42,Not Available,69.14%,74.04%,86.9%,1
