YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden
2015,6037703100,Census Tract 7031,View Park-Windsor Hills,Los Angeles County,California,ViewPark-WindsorHills,893,207,0,17,37,47,66,61,108,97,177,106,94,62,204,132,99,98,108,106,0,17,893,207,0,17,0,17,0,17,0,17,0,17,0,17,0,17,134,102,37,44,13,24,84,91,0,17,0,17,0,17,655,209,66,65,95,90,93,65,16,27,385,190,0,17,104,65,0,17,0,17,0,17,78,63,26,34,0,17,56.55,,0.0,61.22,100.0,12.09
2015,6037703200,Census Tract 7032,View Park-Windsor Hills,Los Angeles County,California,ViewPark-WindsorHills,525,154,0,17,64,71,20,31,106,95,55,70,19,29,31,36,0,17,194,109,36,41,525,154,0,17,0,17,0,17,0,17,0,17,0,17,0,17,64,70,0,17,0,17,42,64,0,17,22,34,0,17,382,140,84,78,88,89,13,23,19,29,142,89,36,41,79,80,0,17,18,29,0,17,0,17,61,76,0,17,46.48,,34.38,42.15,77.22,36.95
2016,6037703100,Census Tract 7031,View Park-Windsor Hills,Los Angeles County,California,ViewPark-WindsorHills,761,194,0,17,38,46,82,85,84,85,147,114,51,56,183,162,88,85,88,84,0,17,761,194,40,66,0,17,0,17,0,17,0,17,40,66,0,17,162,116,49,59,4,13,109,105,0,17,0,17,0,17,491,197,71,81,80,84,38,43,20,31,282,187,0,17,68,63,0,17,0,17,0,17,31,46,37,45,0,17,53.88,100.0,0.0,61.51,100.0,11.56
2016,6037703200,Census Tract 7032,View Park-Windsor Hills,Los Angeles County,California,ViewPark-WindsorHills,508,146,0,17,52,63,21,34,106,95,69,92,43,49,14,22,0,17,162,101,41,45,508,146,0,17,0,17,0,17,0,17,0,17,0,17,0,17,57,89,0,17,0,17,57,89,0,17,0,17,0,17,369,119,73,70,88,87,12,21,23,37,132,82,41,45,82,92,0,17,18,28,0,17,20,32,44,69,0,17,43.11,,0.0,42.01,78.05,31.89
2017,6037703100,Census Tract 7031,View Park-Windsor Hills,Los Angeles County,California,ViewPark-WindsorHills,808,223,19,30,32,37,65,72,81,78,128,109,56,59,143,128,59,80,225,152,0,17,808,223,40,64,0,17,0,17,0,17,0,17,40,64,0,17,146,111,41,49,22,31,83,102,0,17,0,17,0,17,586,208,75,72,59,70,45,45,20,33,387,181,0,17,36,50,0,17,0,17,0,17,36,50,0,17,0,17,59.78,100.0,0.0,69.45,100.0,27.85
2017,6037703200,Census Tract 7032,View Park-Windsor Hills,Los Angeles County,California,ViewPark-WindsorHills,442,154,0,17,0,17,18,29,132,112,65,81,36,42,12,19,0,17,128,89,51,50,442,154,0,17,0,17,0,17,0,17,0,17,0,17,0,17,64,83,0,17,17,28,47,75,0,17,0,17,0,17,288,116,18,29,99,98,18,30,18,31,100,64,35,40,90,76,0,17,16,26,0,17,18,28,40,64,16,27,39.82,,0.0,40.97,64.44,28.96
2018,6037703100,Census Tract 7031,View Park-Windsor Hills,Los Angeles County,California,ViewPark-WindsorHills,721,171,28,35,14,22,85,77,95,84,53,45,75,76,110,102,20,30,241,152,0,17,721,171,43,66,0,17,0,17,0,17,0,17,43,66,0,17,107,75,43,50,17,30,25,39,22,35,0,17,0,17,525,170,72,71,78,78,28,34,19,31,328,157,0,17,46,52,12,20,0,17,0,17,34,56,0,17,0,17,61.86,100.0,20.56,66.1,73.91,33.43
2018,6037703200,Census Tract 7032,View Park-Windsor Hills,Los Angeles County,California,ViewPark-WindsorHills,442,127,0,17,0,17,19,28,118,98,66,83,35,40,11,20,10,17,133,88,50,48,442,127,0,17,0,17,0,17,0,17,0,17,0,17,0,17,70,81,0,17,23,37,47,73,0,17,0,17,0,17,266,109,19,28,78,82,19,32,18,29,99,70,33,39,106,83,0,17,17,26,0,17,17,27,55,68,17,27,42.76,,0.0,43.98,67.92,30.09
2019,6037703100,Census Tract 7031,View Park-Windsor Hills,Los Angeles County,California,ViewPark-WindsorHills,726,174,49,47,30,37,53,66,100,81,54,54,59,75,27,42,26,44,305,169,23,36,726,174,47,73,0,17,0,17,0,17,0,17,47,73,0,17,121,94,48,62,19,29,24,38,30,48,0,17,0,17,495,157,69,61,81,76,30,39,0,17,292,151,23,36,63,65,15,24,0,17,0,17,29,52,19,31,0,17,57.44,100.0,24.79,58.99,76.19,42.01
2019,6037703200,Census Tract 7032,View Park-Windsor Hills,Los Angeles County,California,ViewPark-WindsorHills,471,172,0,17,0,17,18,29,141,118,58,58,88,91,11,18,33,44,85,67,37,42,471,172,0,17,0,17,0,17,0,17,0,17,0,17,0,17,43,51,0,17,24,39,19,31,0,17,0,17,0,17,374,164,18,29,117,110,39,50,71,88,112,87,17,28,54,51,0,17,0,17,0,17,17,26,17,28,20,31,46.07,,0.0,48.93,62.96,18.05
2020,6037703100,Census Tract 7031,View Park-Windsor Hills,Los Angeles County,California,ViewPark-WindsorHills,740,208,57,58,76,96,119,110,82,82,14,25,27,42,25,43,24,38,294,149,22,36,740,208,33,54,0,19,0,19,0,19,0,19,33,54,0,19,71,63,23,35,21,35,0,19,27,42,0,19,0,19,599,218,211,154,61,68,14,25,0,19,291,152,22,36,37,43,18,31,0,19,0,19,0,19,19,28,0,19,50.0,100.0,38.03,48.58,51.35,39.73
2020,6037703200,Census Tract 7032,View Park-Windsor Hills,Los Angeles County,California,ViewPark-WindsorHills,446,184,0,19,0,19,0,19,81,95,87,82,69,86,12,20,36,44,141,102,20,31,446,184,0,19,0,19,0,19,0,19,0,19,0,19,0,19,75,66,0,19,23,34,52,59,0,19,0,19,0,19,268,147,0,19,58,91,35,54,50,80,125,91,0,19,103,94,0,19,0,19,0,19,19,31,64,84,20,31,57.85,,0.0,65.3,80.58,31.61
2021,6037703100,Census Tract 7031,View Park-Windsor Hills,Los Angeles County,California,ViewPark-WindsorHills,795,186,41,40,82,99,190,163,72,74,65,54,20,33,19,32,51,62,239,144,16,26,795,186,37,55,4,12,0,19,0,19,0,19,33,54,0,19,113,117,68,106,25,45,0,19,20,33,0,19,0,19,624,195,230,160,47,65,65,54,0,19,266,154,16,26,21,26,11,17,0,19,0,19,0,19,10,18,0,19,41.38,89.19,17.7,42.63,47.62,30.06
2021,6037703200,Census Tract 7032,View Park-Windsor Hills,Los Angeles County,California,ViewPark-WindsorHills,581,236,0,19,45,70,23,42,134,142,99,79,46,72,0,19,93,96,122,107,19,30,581,236,0,19,0,19,0,19,0,19,0,19,0,19,0,19,128,106,0,19,89,99,39,48,0,19,0,19,0,19,260,148,0,19,45,66,60,70,46,72,109,98,0,19,193,139,68,81,0,19,0,19,0,19,106,105,19,30,44.92,,0.0,59.62,54.92,21.0
2022,6037703100,Census Tract 7031,View Park-Windsor Hills,Los Angeles County,California,ViewPark-WindsorHills,832,212,33,39,75,97,202,144,198,142,115,105,26,41,23,38,56,68,88,80,16,26,832,212,51,62,17,27,0,19,0,19,0,19,34,57,0,19,188,130,96,117,66,50,0,19,26,41,0,19,0,19,505,197,181,136,132,132,65,74,0,19,111,81,16,26,88,88,16,27,0,19,50,79,0,19,22,34,0,19,23.2,66.67,13.83,21.98,25.0,10.58
2022,6037703200,Census Tract 7032,View Park-Windsor Hills,Los Angeles County,California,ViewPark-WindsorHills,753,268,0,19,44,62,20,36,43,74,161,106,46,65,7,13,70,73,362,219,0,19,753,268,0,19,0,19,0,19,0,19,0,19,0,19,0,19,48,60,0,19,0,19,39,46,5,22,4,30,0,19,347,171,8,17,43,74,122,95,41,65,133,118,0,19,358,225,56,67,0,19,0,19,0,19,302,200,0,19,64.41,,18.75,50.14,84.36,48.07
2023,6037703100,Census Tract 7031,View Park-Windsor Hills,Los Angeles County,California,ViewPark-WindsorHills,911,246,63,78,78,100,156,159,219,159,210,173,25,40,0,19,32,54,115,113,13,23,911,246,45,58,13,22,0,19,0,19,0,19,32,54,0,19,196,147,105,139,66,53,0,19,25,40,0,19,0,19,530,230,179,141,153,153,155,145,0,19,30,29,13,23,140,141,0,19,0,19,55,90,0,19,85,109,0,19,18.88,71.11,12.76,5.66,60.71,12.62
2023,6037703200,Census Tract 7032,View Park-Windsor Hills,Los Angeles County,California,ViewPark-WindsorHills,802,251,0,19,49,56,50,62,43,72,128,87,77,87,13,22,93,77,335,199,14,23,802,251,0,19,0,19,0,19,0,19,0,19,0,19,0,19,131,93,18,31,0,19,41,46,35,56,37,45,0,19,384,182,19,34,43,72,87,78,42,69,193,154,0,19,287,167,62,70,0,19,0,19,0,19,211,161,14,23,64.59,,54.96,61.2,73.52,41.77
