YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden
2015,6037431400,Census Tract 4314,Mayflower Village,Los Angeles County,California,MayflowerVillage,370,120,0,12,0,12,15,15,27,34,21,24,99,72,33,39,16,22,87,51,72,61,370,120,6,10,0,12,0,12,0,12,0,12,6,10,0,12,43,46,9,15,0,12,0,12,8,12,0,12,26,41,225,95,6,10,20,32,21,24,70,64,80,52,28,43,96,56,0,12,7,12,0,12,21,23,50,44,18,19,63.51,100.0,18.6,66.67,73.96,23.51
2016,6037431300,Census Tract 4313,Mayflower Village,Los Angeles County,California,MayflowerVillage,300,60,31,29,52,40,27,18,34,23,10,11,35,26,40,26,14,13,51,36,6,9,300,60,7,9,0,12,0,12,0,12,0,12,7,9,0,12,81,40,44,35,21,20,0,12,5,7,11,11,0,12,202,53,66,37,13,13,10,11,25,24,82,43,6,9,10,11,0,12,0,12,0,12,5,8,5,8,0,12,46.67,100.0,19.75,52.97,100.0,17.0
2016,6037431400,Census Tract 4314,Mayflower Village,Los Angeles County,California,MayflowerVillage,412,123,37,48,0,12,11,16,44,50,23,26,99,74,26,30,0,12,95,47,77,56,412,123,32,37,0,12,25,35,0,12,0,12,7,12,0,12,53,41,7,13,0,12,0,12,0,12,8,13,38,44,239,112,41,47,19,30,23,26,75,68,61,38,20,32,88,46,0,12,0,12,0,12,24,27,45,32,19,21,53.4,21.88,15.09,56.9,78.41,23.06
2017,6037431300,Census Tract 4313,Mayflower Village,Los Angeles County,California,MayflowerVillage,292,57,41,37,27,29,30,20,24,21,8,11,27,22,42,28,18,13,70,36,5,8,292,57,6,6,0,12,0,12,0,12,0,12,6,6,0,12,75,43,47,40,12,16,0,12,5,7,11,11,0,12,197,53,51,33,12,12,8,11,17,19,104,45,5,8,14,14,0,12,0,12,0,12,5,8,9,11,0,12,53.77,100.0,21.33,61.42,100.0,23.97
2017,6037431400,Census Tract 4314,Mayflower Village,Los Angeles County,California,MayflowerVillage,406,114,28,39,36,39,33,43,51,49,9,15,95,77,30,32,0,12,75,41,49,46,406,114,28,33,0,12,22,31,0,12,0,12,6,10,0,12,45,46,6,11,0,12,0,12,0,12,6,11,33,42,259,104,91,65,29,36,9,15,76,74,54,35,0,12,74,45,0,12,0,12,0,12,19,23,39,38,16,16,49.26,21.43,13.33,50.19,78.38,18.47
2018,6037431300,Census Tract 4313,Mayflower Village,Los Angeles County,California,MayflowerVillage,289,60,48,37,18,22,32,24,10,15,13,14,27,21,43,28,18,16,80,43,0,12,289,60,5,9,0,12,0,12,0,12,0,12,5,9,0,12,75,42,56,41,10,15,0,12,0,12,9,11,0,12,185,51,42,26,0,12,13,14,22,20,108,45,0,12,24,23,0,12,0,12,0,12,5,9,19,21,0,12,58.13,100.0,12.0,70.27,100.0,27.68
2018,6037431400,Census Tract 4314,Mayflower Village,Los Angeles County,California,MayflowerVillage,346,92,32,44,68,61,5,9,54,50,11,18,10,15,35,31,11,18,77,41,43,50,346,92,28,34,0,12,22,32,0,12,0,12,6,10,0,12,44,49,5,9,0,12,0,12,0,12,4,9,35,48,227,89,100,69,32,38,11,18,0,12,84,48,0,12,47,34,0,12,0,12,0,12,10,15,29,29,8,12,38.44,21.43,9.09,37.0,82.98,22.25
2019,6037431300,Census Tract 4313,Mayflower Village,Los Angeles County,California,MayflowerVillage,209,60,25,28,17,20,32,22,12,16,10,11,14,17,34,30,12,14,53,33,0,12,209,60,0,12,0,12,0,12,0,12,0,12,0,12,0,12,44,36,32,35,12,16,0,12,0,12,0,12,0,12,148,51,42,26,0,12,10,11,14,17,82,44,0,12,17,18,0,12,0,12,0,12,0,12,17,18,0,12,54.07,,0.0,64.86,100.0,25.36
2019,6037431400,Census Tract 4314,Mayflower Village,Los Angeles County,California,MayflowerVillage,370,125,28,39,71,69,0,12,31,34,21,23,56,67,18,21,12,19,108,52,25,23,370,125,18,27,0,12,18,27,0,12,0,12,0,12,0,12,10,14,0,12,0,12,0,12,0,12,4,10,6,11,267,101,99,76,13,20,21,23,0,12,134,60,0,12,75,76,0,12,0,12,0,12,56,67,0,12,19,21,52.43,0.0,40.0,50.19,74.67,29.19
2020,6037431300,Census Tract 4313,Mayflower Village,Los Angeles County,California,MayflowerVillage,256,91,6,9,8,11,94,77,17,20,10,11,15,18,32,38,26,26,48,29,0,13,256,91,0,13,0,13,0,13,0,13,0,13,0,13,0,13,67,61,29,47,17,20,0,13,0,13,21,34,0,13,179,70,79,66,0,13,10,11,15,18,75,34,0,13,10,13,0,13,0,13,0,13,0,13,10,13,0,13,47.27,,31.34,50.28,100.0,18.75
2020,6037431400,Census Tract 4314,Mayflower Village,Los Angeles County,California,MayflowerVillage,406,143,16,24,44,46,34,49,27,26,71,80,40,51,9,15,9,14,139,93,17,20,406,143,16,23,0,13,16,23,0,13,0,13,0,13,0,13,31,26,0,13,0,13,0,13,6,10,19,22,6,11,224,85,94,64,11,19,27,31,0,13,92,57,0,13,135,117,0,13,0,13,44,72,34,50,46,74,11,19,48.52,0.0,80.65,41.07,59.26,34.24
2021,6037431300,Census Tract 4313,Mayflower Village,Los Angeles County,California,MayflowerVillage,294,101,6,10,10,15,102,80,6,9,16,17,7,11,26,31,8,10,98,53,15,24,294,101,0,13,0,13,0,13,0,13,0,13,0,13,0,13,54,60,29,48,0,13,5,8,0,13,20,33,0,13,200,83,89,66,0,13,11,15,7,11,93,49,0,13,40,32,0,13,6,9,0,13,0,13,19,22,15,24,47.28,,37.04,50.0,47.5,33.33
2021,6037431400,Census Tract 4314,Mayflower Village,Los Angeles County,California,MayflowerVillage,382,139,0,13,71,63,0,13,13,21,76,78,48,38,18,26,4,9,132,102,20,25,382,139,0,13,0,13,0,13,0,13,0,13,0,13,0,13,5,9,0,13,0,13,0,13,5,9,0,13,0,13,241,81,71,63,13,21,34,38,20,21,103,52,0,13,136,120,0,13,0,13,42,68,23,38,51,82,20,25,52.88,,100.0,51.04,54.41,34.55
2022,6037431300,Census Tract 4313,Mayflower Village,Los Angeles County,California,MayflowerVillage,277,99,0,13,16,18,74,79,11,12,19,18,8,12,25,38,11,12,103,62,10,16,277,99,0,13,0,13,0,13,0,13,0,13,0,13,0,13,76,65,35,50,0,13,4,6,0,13,37,41,0,13,169,73,55,62,4,7,15,17,8,12,87,45,0,13,32,29,0,13,7,10,0,13,0,13,15,21,10,16,53.07,,48.68,56.21,46.88,37.18
2022,6037431400,Census Tract 4314,Mayflower Village,Los Angeles County,California,MayflowerVillage,382,133,0,13,0,13,0,13,10,15,99,88,55,52,16,22,16,19,155,94,31,35,382,133,9,15,0,13,0,13,0,13,0,13,9,15,0,13,5,8,0,13,0,13,0,13,5,8,0,13,0,13,135,65,0,13,10,15,20,28,22,26,83,53,0,13,233,133,0,13,0,13,79,90,28,45,95,82,31,35,63.35,100.0,100.0,77.78,52.79,40.58
2023,6037431300,Census Tract 4313,Mayflower Village,Los Angeles County,California,MayflowerVillage,315,105,17,20,6,10,74,78,23,21,39,28,7,11,21,34,10,11,103,53,15,20,315,105,0,14,0,14,0,14,0,14,0,14,0,14,0,14,83,66,35,50,0,14,10,11,0,14,38,41,0,14,194,82,62,62,16,19,23,25,7,11,82,45,4,6,38,24,0,14,7,10,6,9,0,14,14,15,11,19,44.76,,45.78,45.88,36.84,32.7
2023,6037431400,Census Tract 4314,Mayflower Village,Los Angeles County,California,MayflowerVillage,363,149,0,14,9,18,0,14,11,18,86,94,55,49,0,14,18,28,145,101,39,39,363,149,11,16,0,14,0,14,0,14,0,14,11,16,0,14,14,20,9,18,0,14,0,14,5,8,0,14,0,14,111,57,0,14,11,18,19,27,22,25,59,48,0,14,227,139,0,14,0,14,67,92,28,45,93,95,39,39,60.06,100.0,35.71,72.97,53.3,39.94
