YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden
2015,6037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,1723,146,11,19,37,60,277,115,178,113,110,66,230,122,195,91,155,88,448,123,82,85,1723,146,145,90,0,17,0,17,43,53,0,17,102,73,0,17,466,131,42,34,17,27,44,57,54,61,281,103,28,45,955,168,247,107,145,101,8,14,162,110,339,135,54,69,157,87,36,56,16,25,15,24,14,25,76,50,0,17,59.66,70.34,71.89,52.46,57.32,26.0
2016,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,253,88,0,12,11,19,23,20,19,21,39,45,7,11,52,43,44,35,31,29,27,27,253,88,0,12,0,12,0,12,0,12,0,12,0,12,0,12,82,61,22,27,19,21,26,41,0,12,15,24,0,12,157,67,12,16,0,12,13,20,0,12,105,57,27,27,14,16,0,12,0,12,0,12,7,11,7,12,0,12,52.96,,18.29,66.88,100.0,12.25
2016,6037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,1774,167,10,18,66,77,320,131,196,117,168,84,252,136,171,88,161,100,375,136,55,69,1774,167,119,91,0,17,0,17,34,54,0,17,85,74,0,17,489,167,48,46,35,50,53,68,80,80,258,105,15,28,985,191,288,138,144,109,64,58,158,115,291,135,40,65,181,104,60,70,17,27,17,26,14,27,73,53,0,17,54.06,71.43,69.12,45.58,48.07,21.14
2017,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,236,87,0,12,19,22,34,47,18,19,36,45,9,14,19,20,65,56,16,19,20,22,236,87,29,46,29,46,0,12,0,12,0,12,0,12,0,12,69,51,9,15,18,19,27,43,0,12,15,23,0,12,129,60,15,18,0,12,9,15,0,12,85,54,20,22,9,14,0,12,0,12,0,12,9,14,0,12,0,12,46.19,0.0,21.74,65.89,100.0,6.78
2017,6037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,1799,129,12,21,85,85,340,144,205,102,188,120,271,176,121,84,193,106,322,121,62,76,1799,129,93,74,0,17,0,17,37,59,0,17,56,59,0,17,487,152,80,66,32,43,31,40,86,77,241,100,17,31,1111,199,283,130,155,97,120,100,185,150,323,149,45,74,108,100,74,90,18,28,0,17,0,17,16,26,0,17,50.42,60.22,67.15,45.72,14.81,17.9
2018,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,257,95,0,12,11,15,30,44,20,23,83,65,19,20,26,28,36,34,11,18,21,23,257,95,30,44,30,44,0,12,0,12,0,12,0,12,0,12,61,53,0,12,20,23,30,47,11,17,0,12,0,12,132,66,11,15,0,12,27,29,0,12,73,50,21,23,34,43,0,12,0,12,26,37,8,12,0,12,0,12,35.8,0.0,18.03,55.3,23.53,4.28
2018,6037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,1831,139,47,59,67,73,381,139,149,108,155,103,244,154,139,117,168,100,440,162,41,63,1831,139,68,67,0,17,0,17,0,17,0,17,68,67,0,17,534,180,79,56,52,64,38,43,52,51,313,158,0,17,1167,223,369,150,97,90,117,96,192,148,351,168,41,63,62,52,47,46,0,17,0,17,0,17,15,24,0,17,54.12,100.0,68.35,46.53,24.19,24.03
2019,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,235,88,0,12,8,12,33,47,19,21,66,61,21,24,23,26,29,27,0,12,36,35,235,88,31,46,31,46,0,12,0,12,0,12,0,12,0,12,61,52,0,12,19,21,29,47,13,20,0,12,0,12,98,58,10,14,0,12,15,25,0,12,52,36,21,24,45,42,0,12,0,12,22,34,8,13,0,12,15,24,31.06,0.0,21.31,53.06,17.78,0.0
2019,6037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,1768,147,32,54,101,107,250,133,145,106,218,138,301,151,169,129,193,116,319,127,40,63,1768,147,16,25,0,17,0,17,0,17,0,17,16,25,0,17,459,203,75,89,48,56,42,53,63,61,231,129,0,17,1166,235,278,147,97,94,176,130,189,136,386,156,40,63,127,108,30,34,0,17,0,17,49,77,48,68,0,17,55.54,100.0,64.05,49.31,76.38,18.04
2020,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,196,73,0,13,28,43,38,51,0,13,32,38,12,18,12,19,28,41,9,15,37,42,196,73,33,50,33,50,0,13,0,13,0,13,0,13,0,13,12,18,0,13,0,13,0,13,12,18,0,13,0,13,93,56,33,44,0,13,10,16,0,13,40,42,10,16,58,51,0,13,0,13,22,35,0,13,9,15,27,38,31.12,0.0,100.0,43.01,15.52,4.59
2020,6037603706,Census Tract 6037.06,Alondra Park,Los Angeles County,California,AlondraPark,1063,115,0,13,84,80,57,48,49,57,177,117,110,78,137,106,162,108,259,150,28,47,1063,115,6,11,0,13,0,13,0,13,0,13,6,11,0,13,282,132,15,27,21,37,30,45,15,24,201,113,0,13,638,168,102,72,28,45,147,111,60,63,273,167,28,47,137,93,24,40,0,13,0,13,35,54,78,77,0,13,62.84,100.0,76.6,52.19,82.48,24.37
2021,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,210,84,0,13,18,27,74,78,0,13,23,31,17,23,11,17,9,17,9,14,49,54,210,84,31,43,31,43,0,13,0,13,0,13,0,13,0,13,17,23,0,13,0,13,0,13,17,23,0,13,0,13,105,69,61,70,0,13,15,25,0,13,20,22,9,14,57,55,0,13,0,13,8,18,0,13,9,14,40,51,21.9,0.0,100.0,19.05,15.79,4.29
2021,6037603706,Census Tract 6037.06,Alondra Park,Los Angeles County,California,AlondraPark,1035,111,0,13,66,73,48,40,33,40,148,95,188,121,148,111,149,102,225,108,30,46,1035,111,49,50,0,13,22,36,0,13,0,13,27,35,0,13,125,94,16,26,0,13,24,40,16,25,69,81,0,13,701,151,77,67,11,20,124,88,136,96,323,151,30,46,160,101,21,35,0,13,0,13,36,59,103,75,0,13,68.6,55.1,68.0,65.48,86.88,21.74
2022,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,187,81,0,19,0,19,39,57,34,49,38,37,10,15,22,22,0,19,9,15,35,39,187,81,0,19,0,19,0,19,0,19,0,19,0,19,0,19,10,15,0,19,0,19,0,19,10,15,0,19,0,19,114,75,39,57,34,49,13,21,0,19,22,22,6,11,63,49,0,19,0,19,25,32,0,19,9,15,29,37,21.93,,100.0,19.3,14.29,4.81
2022,6037603706,Census Tract 6037.06,Alondra Park,Los Angeles County,California,AlondraPark,1018,116,0,13,72,81,100,57,36,46,97,94,231,128,213,121,98,82,138,68,33,53,1018,116,66,64,0,13,28,44,0,13,0,13,38,46,0,13,146,108,0,13,0,13,28,48,30,48,88,88,0,13,668,145,148,86,8,14,69,79,160,107,250,106,33,53,138,69,24,37,0,13,0,13,41,65,73,60,0,13,66.8,57.58,80.82,61.38,82.61,13.56
2023,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,205,81,0,14,0,14,26,39,50,45,7,12,12,18,25,29,0,14,31,33,54,53,205,81,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,151,74,26,39,50,45,0,14,12,18,47,37,16,26,54,49,0,14,0,14,7,12,0,14,9,15,38,47,33.17,,,39.07,16.67,15.12
2023,6037603706,Census Tract 6037.06,Alondra Park,Los Angeles County,California,AlondraPark,1000,88,0,14,49,69,92,56,101,76,135,92,201,121,223,124,96,84,103,65,0,14,1000,88,91,75,0,14,26,41,26,42,0,14,39,54,0,14,166,91,14,24,0,14,27,44,76,65,49,55,0,14,634,126,127,87,75,65,82,78,86,74,264,128,0,14,109,85,0,14,0,14,0,14,39,60,70,56,0,14,62.3,42.86,75.3,55.21,100.0,10.3
