YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M
2018,06037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,91,42,0,12,0,12,0,12,0,12,0,12,0,12,0,12,28,29,0,12,20,31,0,12,0,12,8,14,0,12,56,40,29,33,8,13,10,17,0,12,9,13,0,12,7,10,0,12,0,12,0,12,0,12,7,10,0,12
2018,06037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,74,38,0,12,0,12,0,12,0,12,0,12,0,12,0,12,24,25,0,12,0,12,0,12,0,12,0,12,24,25,50,29,13,19,8,13,0,12,0,12,29,22,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2018,06037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,158,93,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,145,89,50,46,9,16,0,12,9,14,51,57,26,41,13,20,0,12,0,12,0,12,0,12,13,20,0,12
2018,06037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,20,17,3,4,0,12,0,12,0,12,0,12,3,4,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,17,17,4,6,0,12,0,12,9,14,4,6,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2018,06037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,89,44,0,12,0,12,0,12,0,12,0,12,0,12,0,12,26,25,17,20,0,12,0,12,0,12,0,12,9,14,54,36,0,12,9,15,0,12,0,12,29,26,16,15,9,14,0,12,0,12,0,12,0,12,0,12,9,14
2018,06037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,326,139,0,17,0,17,0,17,0,17,0,17,0,17,0,17,101,91,16,27,51,79,19,28,0,17,15,26,0,17,184,103,50,59,50,58,50,60,0,17,34,53,0,17,41,39,0,17,0,17,0,17,0,17,41,39,0,17
2018,06037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,363,97,0,12,0,12,0,12,0,12,0,12,0,12,0,12,88,73,21,16,0,12,0,12,0,12,34,54,33,51,197,75,30,26,39,50,7,12,26,24,89,58,6,11,78,55,50,54,0,12,0,12,0,12,20,22,8,11
2018,06037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,994,180,39,31,0,17,0,17,0,17,0,17,39,31,0,17,197,131,133,103,0,17,17,28,16,25,31,34,0,17,653,157,133,89,93,82,100,73,52,42,259,128,16,24,105,81,0,17,0,17,0,17,48,74,57,40,0,17
2018,06037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,482,99,68,48,0,12,17,18,15,18,0,12,36,42,0,12,126,73,77,62,17,18,9,14,0,12,23,27,0,12,288,79,45,34,11,16,28,30,19,21,185,78,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2018,06037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,1087,156,162,86,0,17,13,21,0,17,0,17,100,83,49,76,225,127,0,17,0,17,25,29,10,17,167,131,23,34,571,154,123,90,34,38,98,85,23,35,275,130,18,29,129,70,15,25,15,25,0,17,15,25,84,55,0,17
