YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M
2024,06037910213,Census Tract 9102.13,Acton,Los Angeles County,California,Acton,134,101,0,14,0,14,0,14,0,14,0,14,0,14,0,14,6,8,6,8,0,14,0,14,0,14,0,14,0,14,128,101,68,86,0,14,25,42,0,14,35,28,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
2024,06037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,44,40,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,11,17,0,14,0,14,0,14,0,14,11,17,0,14,33,36,18,29,0,14,0,14,0,14,0,14,15,21
2024,06037910814,Census Tract 9108.14,Acton,Los Angeles County,California,Acton,100,65,6,10,0,14,0,14,0,14,0,14,6,10,0,14,23,38,0,14,23,38,0,14,0,14,0,14,0,14,71,51,39,35,0,14,0,14,0,14,22,29,10,17,0,14,0,14,0,14,0,14,0,14,0,14,0,14
2024,06037910815,Census Tract 9108.15,Acton,Los Angeles County,California,Acton,293,132,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,169,107,6,11,10,15,0,19,0,19,66,77,87,80,124,103,34,53,0,19,0,19,0,19,44,69,46,68
2024,06037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,234,118,0,19,0,19,0,19,0,19,0,19,0,19,0,19,14,23,0,19,14,23,0,19,0,19,0,19,0,19,220,116,56,58,0,19,0,19,0,19,143,91,21,35,0,19,0,19,0,19,0,19,0,19,0,19,0,19
2024,06037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,76,38,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,72,38,33,24,0,14,0,14,0,14,36,28,3,7,4,7,0,14,0,14,0,14,0,14,0,14,4,7
2024,06037800333,Census Tract 8003.33,Agoura Hills,Los Angeles County,California,AgouraHills,617,138,20,25,8,13,0,14,0,14,0,14,12,20,0,14,67,48,14,25,12,22,0,14,0,14,41,41,0,14,450,134,93,64,16,28,65,72,39,55,198,103,39,47,80,49,10,17,13,22,0,14,0,14,57,40,0,14
2024,06037800334,Census Tract 8003.34,Agoura Hills,Los Angeles County,California,AgouraHills,110,79,0,14,0,14,0,14,0,14,0,14,0,14,0,14,39,48,0,14,0,14,0,14,0,14,39,48,0,14,48,50,18,22,10,28,0,14,8,30,12,19,0,14,23,28,0,14,0,14,0,14,0,14,23,28,0,14
2024,06037800335,Census Tract 8003.35,Agoura Hills,Los Angeles County,California,AgouraHills,344,146,14,24,0,14,0,14,0,14,0,14,14,24,0,14,47,50,15,24,0,14,0,14,0,14,32,43,0,14,201,125,22,27,0,14,63,94,0,14,30,32,86,86,82,67,40,61,0,14,13,22,0,14,10,17,19,23
2024,06037800336,Census Tract 8003.36,Agoura Hills,Los Angeles County,California,AgouraHills,111,57,0,14,0,14,0,14,0,14,0,14,0,14,0,14,34,38,18,27,16,27,0,14,0,14,0,14,0,14,57,39,14,21,17,26,0,14,14,22,12,18,0,14,20,21,9,14,0,14,0,14,0,14,0,14,11,17
2024,06037800338,Census Tract 8003.38,Agoura Hills,Los Angeles County,California,AgouraHills,277,166,0,19,0,19,0,19,0,19,0,19,0,19,0,19,76,61,0,19,0,19,0,19,0,19,76,61,0,19,90,95,73,88,0,19,0,19,0,19,17,28,0,19,111,122,0,19,15,23,91,119,0,19,5,8,0,19
2024,06037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,25,24,0,14,0,14,0,14,0,14,0,14,0,14,0,14,8,14,0,14,0,14,0,14,0,14,8,14,0,14,17,19,17,19,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
2024,06037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,57,55,0,14,0,14,0,14,0,14,0,14,0,14,0,14,17,25,0,14,0,14,0,14,0,14,17,25,0,14,6,8,0,14,0,14,0,14,0,14,6,8,0,14,34,50,0,14,0,14,0,14,0,14,34,50,0,14
2024,06037910814,Census Tract 9108.14,Agua Dulce,Los Angeles County,California,AguaDulce,100,65,6,10,0,14,0,14,0,14,0,14,6,10,0,14,23,38,0,14,23,38,0,14,0,14,0,14,0,14,71,51,39,35,0,14,0,14,0,14,22,29,10,17,0,14,0,14,0,14,0,14,0,14,0,14,0,14
2024,06037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,932,152,15,22,0,14,0,14,0,14,0,14,15,22,0,14,212,95,22,24,45,48,57,51,27,36,61,52,0,14,459,138,211,115,11,18,84,63,11,15,142,71,0,14,246,92,7,13,23,26,23,21,11,18,158,83,24,20
