YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M
2022,06037910213,Census Tract 9102.13,Acton,Los Angeles County,California,Acton,128,94,0,13,0,13,0,13,0,13,0,13,0,13,0,13,33,26,0,13,0,13,0,13,0,13,33,26,0,13,95,93,51,82,11,16,25,42,0,13,8,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
2022,06037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,86,64,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,68,56,6,10,0,13,0,13,0,13,62,56,0,13,18,28,18,28,0,13,0,13,0,13,0,13,0,13
2022,06037910814,Census Tract 9108.14,Acton,Los Angeles County,California,Acton,83,54,7,11,0,13,0,13,0,13,0,13,7,11,0,13,23,38,0,13,23,38,0,13,0,13,0,13,0,13,53,36,12,16,0,13,0,13,0,13,25,31,16,18,0,13,0,13,0,13,0,13,0,13,0,13,0,13
2022,06037910815,Census Tract 9108.15,Acton,Los Angeles County,California,Acton,192,104,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,156,92,56,54,10,16,0,19,0,19,5,8,85,75,36,50,29,48,0,19,0,19,0,19,7,11,0,19
2022,06037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,287,127,0,19,0,19,0,19,0,19,0,19,0,19,0,19,23,30,0,19,15,25,8,16,0,19,0,19,0,19,247,122,82,66,0,19,0,19,0,19,146,105,19,26,17,29,0,19,0,19,0,19,0,19,17,29,0,19
2022,06037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,83,34,0,13,0,13,0,13,0,13,0,13,0,13,0,13,2,10,2,10,0,13,0,13,0,13,0,13,0,13,75,37,38,24,0,13,0,13,0,13,37,34,0,13,6,10,0,13,0,13,0,13,0,13,0,13,6,10
2022,06037800333,Census Tract 8003.33,Agoura Hills,Los Angeles County,California,AgouraHills,678,159,0,13,0,13,0,13,0,13,0,13,0,13,0,13,143,97,41,40,0,13,47,75,0,13,55,43,0,13,414,123,100,66,0,13,87,72,16,26,162,86,49,45,121,78,20,23,17,26,0,13,0,13,84,74,0,13
2022,06037800334,Census Tract 8003.34,Agoura Hills,Los Angeles County,California,AgouraHills,194,94,0,13,0,13,0,13,0,13,0,13,0,13,0,13,23,37,0,13,0,13,0,13,0,13,23,37,0,13,154,89,0,13,40,44,46,52,25,33,43,54,0,13,17,26,0,13,0,13,0,13,0,13,17,26,0,13
2022,06037800335,Census Tract 8003.35,Agoura Hills,Los Angeles County,California,AgouraHills,311,117,9,14,0,13,0,13,0,13,0,13,9,14,0,13,37,57,0,13,0,13,0,13,0,13,37,57,0,13,201,95,67,65,13,16,0,13,10,16,56,48,55,48,64,40,7,11,0,13,17,25,0,13,19,20,21,25
2022,06037800336,Census Tract 8003.36,Agoura Hills,Los Angeles County,California,AgouraHills,91,89,0,13,0,13,0,13,0,13,0,13,0,13,0,13,26,38,0,13,26,38,0,13,0,13,0,13,0,13,52,78,52,78,0,13,0,13,0,13,0,13,0,13,13,23,13,23,0,13,0,13,0,13,0,13,0,13
2022,06037800338,Census Tract 8003.38,Agoura Hills,Los Angeles County,California,AgouraHills,310,168,0,19,0,19,0,19,0,19,0,19,0,19,0,19,48,52,0,19,0,19,0,19,0,19,48,52,0,19,165,102,82,73,0,19,0,19,0,19,40,39,43,64,97,124,0,19,0,19,93,123,0,19,4,8,0,19
2022,06037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,41,32,0,13,0,13,0,13,0,13,0,13,0,13,0,13,13,20,0,13,0,13,0,13,0,13,13,20,0,13,28,25,12,18,0,13,7,11,9,15,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
