YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M
2012,06037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,42,44,0,13,0,13,0,13,0,13,0,13,0,13,0,13,27,39,0,13,0,13,27,39,0,13,0,13,0,13,15,18,0,13,0,13,0,13,9,14,6,10,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
2012,06037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,93,72,0,13,0,13,0,13,0,13,0,13,0,13,0,13,37,40,10,15,0,13,0,13,0,13,27,38,0,13,56,60,0,13,10,16,0,13,34,53,12,19,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
2012,06037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,133,79,0,13,0,13,0,13,0,13,0,13,0,13,0,13,41,50,0,13,0,13,0,13,41,50,0,13,0,13,84,65,10,16,0,13,0,13,0,13,74,66,0,13,8,12,0,13,0,13,0,13,0,13,0,13,8,12
2012,06037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,5,8,0,13,0,13,0,13,0,13,0,13,0,13,0,13,5,8,0,13,0,13,0,13,0,13,5,8,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
2012,06037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,118,96,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,118,96,10,17,0,13,0,13,15,23,93,86,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
2012,06037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,288,133,0,18,0,18,0,18,0,18,0,18,0,18,0,18,35,49,0,18,0,18,0,18,35,49,0,18,0,18,253,132,0,18,83,84,31,29,26,30,97,95,16,38,0,18,0,18,0,18,0,18,0,18,0,18,0,18
2012,06037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,427,107,11,18,11,18,0,13,0,13,0,13,0,13,0,13,93,63,11,17,21,33,0,13,9,16,52,53,0,13,287,98,66,49,50,46,45,59,39,48,77,54,10,15,36,32,9,15,10,15,0,13,0,13,17,19,0,13
2012,06037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,865,186,47,49,0,13,0,13,26,42,0,13,21,27,0,13,165,116,29,36,15,23,0,13,0,13,121,112,0,13,504,203,29,41,9,14,207,135,0,13,259,142,0,13,149,94,0,13,0,13,17,28,0,13,132,90,0,13
2012,06037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,474,132,51,47,0,13,0,13,0,13,24,37,27,31,0,13,92,78,8,13,49,72,0,13,27,44,8,13,0,13,316,119,27,34,10,16,12,19,67,61,186,118,14,25,15,22,15,22,0,13,0,13,0,13,0,13,0,13
2012,06037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,939,168,33,31,0,18,0,18,0,18,0,18,33,31,0,18,294,122,99,86,38,35,101,98,56,53,0,18,0,18,507,150,99,60,76,71,19,22,15,25,266,122,32,36,105,78,14,22,0,18,0,18,0,18,91,75,0,18
2012,06037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,136,96,0,18,0,18,0,18,0,18,0,18,0,18,0,18,25,48,0,18,25,48,0,18,0,18,0,18,0,18,57,47,9,18,0,18,0,18,0,18,0,18,48,43,54,65,0,18,0,18,0,18,0,18,14,24,40,61
2012,06037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,93,72,0,13,0,13,0,13,0,13,0,13,0,13,0,13,37,40,10,15,0,13,0,13,0,13,27,38,0,13,56,60,0,13,10,16,0,13,34,53,12,19,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
2012,06037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,64,59,0,13,0,13,0,13,0,13,0,13,0,13,0,13,17,23,0,13,0,13,0,13,10,18,0,13,7,13,47,54,0,13,0,13,30,45,0,13,17,26,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
2012,06037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,35,29,0,13,0,13,0,13,0,13,0,13,0,13,0,13,27,27,16,25,0,13,0,13,0,13,3,6,8,11,1,5,0,13,0,13,0,13,0,13,1,5,0,13,7,9,0,13,0,13,3,5,0,13,0,13,4,8
2012,06037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,118,96,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,118,96,10,17,0,13,0,13,15,23,93,86,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
2012,06037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,1050,115,37,32,7,10,0,13,19,29,0,13,11,12,0,13,276,81,189,78,21,19,8,13,28,26,30,37,0,13,482,94,142,69,102,55,14,16,25,24,173,72,26,26,255,65,40,36,6,9,70,38,31,40,82,38,26,39
2012,06037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,1153,135,90,58,13,20,0,13,26,33,17,28,34,30,0,13,310,123,87,63,40,39,34,40,30,34,119,77,0,13,687,157,177,82,106,96,77,59,45,66,282,130,0,13,66,48,0,13,0,13,11,15,0,13,34,42,21,33
2012,06037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,1402,128,87,61,0,13,0,13,0,13,0,13,87,61,0,13,379,149,167,127,34,43,21,33,20,29,137,89,0,13,659,152,107,79,54,53,34,36,56,51,394,151,14,23,277,102,10,17,0,13,59,57,31,37,164,81,13,22
