YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M
2017,06037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,103,56,0,12,0,12,0,12,0,12,0,12,0,12,0,12,30,34,0,12,30,34,0,12,0,12,0,12,0,12,66,44,31,38,8,11,11,17,0,12,16,18,0,12,7,11,0,12,0,12,0,12,0,12,7,11,0,12
2017,06037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,96,58,0,12,0,12,0,12,0,12,0,12,0,12,0,12,52,51,0,12,0,12,0,12,0,12,6,11,46,49,44,32,0,12,12,19,13,18,0,12,19,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2017,06037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,265,121,0,12,0,12,0,12,0,12,0,12,0,12,0,12,53,62,19,30,0,12,0,12,0,12,34,54,0,12,212,106,59,50,10,15,0,12,54,56,64,61,25,40,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2017,06037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,16,16,3,4,0,12,0,12,0,12,0,12,3,4,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,16,0,12,0,12,0,12,9,15,4,6,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2017,06037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,82,44,0,12,0,12,0,12,0,12,0,12,0,12,0,12,20,22,12,19,0,12,0,12,0,12,0,12,8,11,53,37,0,12,12,19,0,12,0,12,29,26,12,18,9,14,0,12,0,12,0,12,0,12,0,12,9,14
2017,06037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,393,131,0,17,0,17,0,17,0,17,0,17,0,17,0,17,80,77,19,31,46,70,0,17,0,17,15,23,0,17,286,133,106,100,48,56,54,61,0,17,78,77,0,17,27,31,0,17,0,17,0,17,0,17,27,31,0,17
2017,06037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,360,105,10,16,0,17,0,17,0,17,0,17,10,16,0,17,78,65,24,27,0,17,0,17,26,42,0,17,28,44,218,85,55,38,45,58,10,17,17,19,82,57,9,13,54,49,36,45,0,17,0,17,0,17,10,15,8,13
2017,06037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,990,187,46,35,0,17,0,17,0,17,10,17,36,30,0,17,200,135,110,101,0,17,36,38,54,69,0,17,0,17,618,150,122,86,80,70,54,37,41,42,308,132,13,21,126,94,12,21,0,17,0,17,50,78,64,49,0,17
2017,06037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,469,86,56,41,0,12,13,15,7,10,0,12,29,34,7,11,68,40,20,19,22,21,9,14,0,12,17,21,0,12,345,80,33,30,0,12,57,57,14,16,241,82,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2017,06037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,963,189,103,83,0,17,12,20,0,17,0,17,91,81,0,17,269,127,0,17,0,17,52,53,5,10,162,123,50,82,515,170,62,57,45,44,52,49,54,53,287,166,15,28,76,60,0,17,21,32,0,17,15,23,40,45,0,17
2017,06037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,227,118,0,17,0,17,0,17,0,17,0,17,0,17,0,17,12,21,12,21,0,17,0,17,0,17,0,17,0,17,189,118,13,22,22,32,12,19,14,22,106,109,22,34,26,30,0,17,0,17,0,17,13,22,13,22,0,17
2017,06037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,96,58,0,12,0,12,0,12,0,12,0,12,0,12,0,12,52,51,0,12,0,12,0,12,0,12,6,11,46,49,44,32,0,12,12,19,13,18,0,12,19,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
