YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M
2011,06037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,16,20,0,95,0,95,0,95,0,95,0,95,0,95,0,95,12,18,0,95,0,95,12,18,0,95,0,95,0,95,4,8,0,95,0,95,0,95,0,95,4,8,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95
2011,06037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,122,77,0,95,0,95,0,95,0,95,0,95,0,95,0,95,36,36,10,17,0,95,0,95,0,95,26,34,0,95,86,73,0,95,11,17,0,95,34,53,41,51,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95
2011,06037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,155,86,0,95,0,95,0,95,0,95,0,95,0,95,0,95,38,41,0,95,0,95,0,95,38,41,0,95,0,95,109,76,24,27,0,95,0,95,0,95,85,72,0,95,8,13,0,95,0,95,0,95,0,95,0,95,8,13
2011,06037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,5,8,0,95,0,95,0,95,0,95,0,95,0,95,0,95,5,8,0,95,0,95,0,95,0,95,5,8,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95
2011,06037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,109,88,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,109,88,10,16,0,95,0,95,10,17,89,82,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95
2011,06037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,321,127,0,95,0,95,0,95,0,95,0,95,0,95,0,95,38,59,0,95,0,95,0,95,38,59,0,95,0,95,283,115,14,21,63,60,22,24,41,39,98,88,45,55,0,95,0,95,0,95,0,95,0,95,0,95,0,95
2011,06037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,431,106,12,20,12,20,0,95,0,95,0,95,0,95,0,95,117,63,30,35,18,28,0,95,10,17,59,55,0,95,280,90,75,50,43,39,22,34,41,49,88,71,11,17,22,25,0,95,10,16,0,95,0,95,12,20,0,95
2011,06037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,778,198,51,52,0,95,0,95,29,47,0,95,22,21,0,95,125,101,60,62,13,21,0,95,0,95,52,81,0,95,474,177,28,34,9,14,177,127,17,29,243,114,0,95,128,96,0,95,0,95,0,95,0,95,128,96,0,95
2011,06037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,446,132,52,53,0,95,0,95,0,95,0,95,22,28,30,44,60,80,7,12,53,80,0,95,0,95,0,95,0,95,324,123,84,72,0,95,0,95,81,62,144,86,15,27,10,17,10,17,0,95,0,95,0,95,0,95,0,95
2011,06037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,928,148,92,66,0,95,0,95,0,95,0,95,64,48,28,46,353,122,106,66,100,84,47,59,100,82,0,95,0,95,389,132,82,53,74,63,10,15,0,95,211,113,12,19,94,69,11,17,0,95,0,95,0,95,83,66,0,95
