YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M
2023,06037553701,Census Tract 5537.01,Paramount,Los Angeles County,California,Paramount,517,98,28,33,28,33,0,14,0,14,0,14,0,14,0,14,91,58,19,24,21,36,8,14,0,14,43,37,0,14,353,78,82,48,34,32,62,49,23,25,152,70,0,14,45,34,4,8,11,18,5,9,0,14,19,27,6,8
2023,06037553702,Census Tract 5537.02,Paramount,Los Angeles County,California,Paramount,616,132,0,14,0,14,0,14,0,14,0,14,0,14,0,14,50,37,0,14,0,14,0,14,0,14,50,37,0,14,495,122,106,65,71,58,47,45,31,35,214,91,26,29,71,55,8,14,0,14,0,14,0,14,55,53,8,12
2023,06037553801,Census Tract 5538.01,Paramount,Los Angeles County,California,Paramount,714,90,12,19,0,14,0,14,0,14,0,14,12,19,0,14,63,51,0,14,0,14,8,13,0,14,55,48,0,14,608,101,124,83,20,25,11,18,74,65,357,113,22,25,31,23,0,14,0,14,11,17,7,11,13,17,0,14
2023,06037553802,Census Tract 5538.02,Paramount,Los Angeles County,California,Paramount,1035,205,61,63,0,19,33,53,0,19,16,25,12,19,0,19,163,79,26,22,8,13,40,40,0,19,89,66,0,19,663,207,67,78,97,98,35,41,61,65,301,151,102,117,148,74,21,33,21,33,10,16,0,19,65,50,31,35
2023,06037553901,Census Tract 5539.01,Paramount,Los Angeles County,California,Paramount,787,206,36,45,0,19,0,19,0,19,0,19,36,45,0,19,139,89,52,44,22,27,54,67,0,19,11,27,0,19,464,130,103,75,32,32,29,46,70,75,221,93,9,21,148,149,0,19,89,143,0,19,0,19,59,45,0,19
2023,06037553902,Census Tract 5539.02,Paramount,Los Angeles County,California,Paramount,1104,179,10,15,0,19,0,19,0,19,0,19,10,15,0,19,355,161,102,113,35,25,23,33,25,41,170,120,0,19,693,172,97,82,23,27,175,95,107,75,257,149,34,54,46,34,0,19,0,19,0,19,0,19,46,34,0,19
2023,06037460001,Census Tract 4600.01,Pasadena,Los Angeles County,California,Pasadena,52,39,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,27,23,20,21,0,14,0,14,7,10,0,14,0,14,25,34,0,14,0,14,0,14,0,14,25,34,0,14
2023,06037460002,Census Tract 4600.02,Pasadena,Los Angeles County,California,Pasadena,187,72,0,14,0,14,0,14,0,14,0,14,0,14,0,14,27,34,0,14,0,14,0,14,0,14,0,14,27,34,125,75,13,15,29,43,0,14,24,30,59,78,0,14,35,33,0,14,11,19,0,14,0,14,8,12,16,24
2023,06037460101,Census Tract 4601.01,Pasadena,Los Angeles County,California,Pasadena,192,78,0,19,0,19,0,19,0,19,0,19,0,19,0,19,30,35,0,19,11,18,19,29,0,19,0,19,0,19,147,79,0,19,0,19,0,19,69,74,67,62,11,27,15,23,0,19,0,19,0,19,0,19,15,23,0,19
2023,06037460401,Census Tract 4604.01,Pasadena,Los Angeles County,California,Pasadena,137,49,3,6,0,14,0,14,0,14,0,14,0,14,3,6,12,17,0,14,0,14,0,14,12,17,0,14,0,14,109,48,34,25,0,14,9,10,0,14,66,42,0,14,13,14,9,13,0,14,0,14,0,14,4,6,0,14
2023,06037460800,Census Tract 4608,Pasadena,Los Angeles County,California,Pasadena,76,54,0,14,0,14,0,14,0,14,0,14,0,14,0,14,10,17,0,14,0,14,0,14,0,14,0,14,10,17,43,46,28,43,0,14,0,14,10,15,5,10,0,14,23,25,12,19,0,14,0,14,0,14,0,14,11,18
2023,06037460900,Census Tract 4609,Pasadena,Los Angeles County,California,Pasadena,814,180,91,89,0,19,0,19,27,44,0,19,64,80,0,19,379,168,179,124,92,87,6,10,0,19,77,73,25,41,311,137,31,34,52,61,0,19,28,25,163,125,37,49,33,43,0,19,7,11,0,19,0,19,26,42,0,19
2023,06037461300,Census Tract 4613,Pasadena,Los Angeles County,California,Pasadena,855,288,0,19,0,19,0,19,0,19,0,19,0,19,0,19,141,122,38,62,0,19,20,33,0,19,83,101,0,19,488,221,201,180,57,44,20,32,28,44,182,145,0,19,226,138,0,19,12,18,45,74,31,35,138,119,0,19
2023,06037461400,Census Tract 4614,Pasadena,Los Angeles County,California,Pasadena,690,130,8,13,0,14,8,13,0,14,0,14,0,14,0,14,102,64,13,15,0,14,12,14,46,53,31,31,0,14,379,115,92,68,61,44,68,66,55,41,90,76,13,20,201,83,24,24,0,14,0,14,67,54,104,65,6,15
2023,06037461501,Census Tract 4615.01,Pasadena,Los Angeles County,California,Pasadena,570,135,11,14,0,14,0,14,0,14,0,14,11,14,0,14,102,52,72,39,1,6,21,25,0,14,8,14,0,14,300,99,59,45,20,25,37,47,15,24,155,88,14,24,157,109,0,14,0,14,12,19,13,21,132,105,0,14
2023,06037461502,Census Tract 4615.02,Pasadena,Los Angeles County,California,Pasadena,855,137,19,20,0,19,9,14,0,19,0,19,10,16,0,19,191,92,43,44,16,19,36,44,47,47,19,21,30,50,453,124,66,45,24,27,10,17,39,44,266,125,48,50,192,109,11,17,10,15,34,43,0,19,137,98,0,19
2023,06037461600,Census Tract 4616,Pasadena,Los Angeles County,California,Pasadena,1179,255,0,19,0,19,0,19,0,19,0,19,0,19,0,19,114,66,0,19,10,16,0,19,28,34,44,40,32,37,928,271,151,79,129,135,17,26,29,33,495,141,107,136,137,63,8,12,46,39,0,19,21,32,23,20,39,39
2023,06037461700,Census Tract 4617,Pasadena,Los Angeles County,California,Pasadena,70,36,4,7,0,14,0,14,0,14,0,14,4,7,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,43,24,0,14,0,14,0,14,14,15,29,22,0,14,23,25,0,14,0,14,19,24,0,14,4,8,0,14
2023,06037461901,Census Tract 4619.01,Pasadena,Los Angeles County,California,Pasadena,1386,198,35,39,0,14,0,14,0,14,0,14,35,39,0,14,548,157,135,98,122,98,56,57,30,30,182,96,23,37,682,173,74,66,35,42,146,167,46,39,375,112,6,10,121,55,23,19,0,14,6,9,31,39,61,39,0,14
2023,06037461902,Census Tract 4619.02,Pasadena,Los Angeles County,California,Pasadena,1194,151,104,57,7,11,0,14,0,14,0,14,75,50,22,26,502,112,78,42,83,59,32,25,44,32,190,96,75,65,387,113,99,75,53,36,26,24,68,59,115,64,26,32,201,114,7,11,21,34,98,78,21,25,54,57,0,14
2023,06037462001,Census Tract 4620.01,Pasadena,Los Angeles County,California,Pasadena,936,196,0,14,0,14,0,14,0,14,0,14,0,14,0,14,426,185,117,82,132,155,59,50,0,14,118,82,0,14,473,127,118,62,49,41,86,52,0,14,186,97,34,49,37,56,9,16,0,14,0,14,0,14,0,14,28,48
2023,06037462002,Census Tract 4620.02,Pasadena,Los Angeles County,California,Pasadena,934,212,42,48,21,36,0,14,0,14,0,14,21,32,0,14,191,83,38,47,6,9,12,19,13,20,122,69,0,14,486,113,48,46,51,41,55,63,0,14,303,120,29,32,215,179,4,7,19,29,39,30,33,34,120,172,0,14
2023,06037462100,Census Tract 4621,Pasadena,Los Angeles County,California,Pasadena,984,170,34,34,0,14,0,14,0,14,0,14,21,26,13,20,239,92,57,39,100,62,6,9,17,27,59,42,0,14,510,152,155,102,59,55,98,81,55,67,143,64,0,14,201,80,0,14,0,14,42,33,23,28,107,61,29,47
