YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M
2015,06037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,103,59,0,12,23,36,0,12,35,38,16,24,3,8,0,12,0,12,26,22,0,12
2015,06037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,84,70,0,12,0,12,0,12,0,12,12,21,0,12,11,17,0,12,0,12,61,65
2015,06037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,255,105,0,12,8,13,44,47,9,15,0,12,60,57,0,12,22,34,79,69,33,42
2015,06037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,18,18,0,12,0,12,0,12,0,12,0,12,10,16,0,12,3,5,5,7,0,12
2015,06037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,114,68,0,12,0,12,0,12,0,12,0,12,10,17,52,53,15,22,16,19,21,24
2015,06037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,398,159,0,17,58,70,16,25,95,95,50,67,48,63,39,65,0,17,40,37,52,62
2015,06037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,392,112,20,22,9,14,75,58,31,48,50,46,28,44,0,17,37,32,110,63,32,51
2015,06037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,843,171,36,55,36,43,53,49,36,41,86,58,58,60,18,30,19,30,492,158,9,17
2015,06037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,549,82,5,11,0,12,24,24,35,31,65,68,51,48,58,43,127,77,177,80,7,11
2015,06037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,965,199,48,50,14,23,34,38,45,40,145,92,90,67,39,37,110,78,356,170,84,87
2015,06037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,142,82,0,17,0,17,27,22,23,37,0,17,14,24,0,17,51,72,0,17,27,31
2015,06037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,84,70,0,12,0,12,0,12,0,12,12,21,0,12,11,17,0,12,0,12,61,65
2015,06037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,101,60,0,12,6,9,12,19,0,12,8,12,50,53,0,12,0,12,13,19,12,19
2015,06037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,46,28,0,12,0,12,6,8,0,12,7,11,0,12,0,12,6,8,8,12,19,17
2015,06037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,114,68,0,12,0,12,0,12,0,12,0,12,10,17,52,53,15,22,16,19,21,24
2015,06037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,1018,109,54,44,64,34,153,79,130,73,74,35,68,34,31,26,53,53,372,111,19,20
2015,06037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,1123,92,46,39,139,80,110,68,77,64,133,70,91,65,92,54,76,49,291,90,68,47
2015,06037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,1382,118,5,9,147,80,103,61,58,39,94,49,140,73,95,63,168,84,491,112,81,61
2015,06037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,1213,181,77,75,80,60,191,106,234,102,84,62,87,58,107,74,99,82,193,111,61,52
2015,06037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,931,167,40,38,56,72,129,76,140,74,152,95,98,59,43,70,58,74,215,108,0,17
2015,06037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,1323,107,62,55,190,89,168,72,211,77,98,55,113,48,39,31,129,60,259,73,54,30
2015,06037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,431,121,0,12,55,56,73,70,55,37,15,16,54,66,83,61,8,13,30,30,58,44
2015,06037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,451,103,8,12,74,54,56,49,80,55,25,27,8,13,9,14,82,64,74,56,35,29
2015,06037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,1302,118,5,8,106,63,241,103,109,53,156,75,107,54,118,69,103,63,314,109,43,49
2015,06037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,1150,121,32,40,191,108,99,53,160,105,59,48,49,37,58,39,123,61,239,86,140,80
2015,06037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,1135,98,19,31,68,58,214,80,49,34,86,59,72,66,79,58,178,74,370,113,0,12
2015,06037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,519,75,13,19,34,32,48,37,76,43,12,14,50,36,30,25,7,8,175,66,74,42
2015,06037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,898,114,5,8,34,30,52,35,165,82,49,40,7,13,76,57,52,40,428,119,30,39
2015,06037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,1166,184,43,66,61,60,100,83,42,44,199,140,156,117,29,28,175,86,285,124,76,74
2015,06037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,558,128,29,46,41,51,19,21,0,12,63,48,19,19,25,23,82,62,189,89,91,74
2015,06037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,834,89,18,19,80,53,88,54,46,31,79,48,43,37,35,27,116,65,273,91,56,44
2015,06037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,878,96,27,21,82,51,38,37,165,69,51,31,29,34,31,40,120,61,287,89,48,39
2015,06037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,739,103,28,43,79,58,79,68,103,52,89,60,44,46,26,27,53,44,205,94,33,27
2015,06037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,1023,111,0,12,37,30,80,66,111,51,107,56,163,86,15,18,96,50,356,102,58,39
2015,06037481800,Census Tract 4818,Alhambra,Los Angeles County,California,Alhambra,195,52,4,7,12,14,18,20,0,12,36,31,10,12,0,12,9,12,51,36,55,28
