YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M
2024,06037910213,Census Tract 9102.13,Acton,Los Angeles County,California,Acton,134,101,52,84,0,14,22,24,0,14,25,42,0,14,0,14,29,27,6,9,0,14
2024,06037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,44,40,0,14,18,29,0,14,0,14,0,14,0,14,0,14,0,14,11,17,15,21
2024,06037910814,Census Tract 9108.14,Acton,Los Angeles County,California,Acton,100,65,0,14,39,35,0,14,23,38,0,14,0,14,0,14,0,14,28,31,10,17
2024,06037910815,Census Tract 9108.15,Acton,Los Angeles County,California,Acton,293,132,0,19,6,11,34,53,10,15,0,19,0,19,12,21,48,74,50,70,133,105
2024,06037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,234,118,14,23,0,19,42,52,14,23,0,19,0,19,24,37,24,36,95,80,21,35
2024,06037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,76,38,0,14,28,25,5,8,0,14,0,14,0,14,0,14,0,14,36,28,7,11
2024,06037800333,Census Tract 8003.33,Agoura Hills,Los Angeles County,California,AgouraHills,617,138,11,17,73,57,41,42,41,42,65,72,39,55,44,35,25,33,239,106,39,47
2024,06037800334,Census Tract 8003.34,Agoura Hills,Los Angeles County,California,AgouraHills,110,79,0,14,7,12,11,19,10,28,0,14,8,30,0,14,29,34,45,48,0,14
2024,06037800335,Census Tract 8003.35,Agoura Hills,Los Angeles County,California,AgouraHills,344,146,40,61,22,27,15,24,0,14,76,95,0,14,0,14,31,36,55,49,105,84
2024,06037800336,Census Tract 8003.36,Agoura Hills,Los Angeles County,California,AgouraHills,111,57,0,14,27,30,14,21,33,35,0,14,14,22,0,14,0,14,12,18,11,17
2024,06037800338,Census Tract 8003.38,Agoura Hills,Los Angeles County,California,AgouraHills,277,166,0,19,56,81,17,23,15,23,91,119,0,19,17,28,51,53,30,39,0,19
2024,06037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,25,24,0,14,17,19,0,14,0,14,0,14,0,14,8,14,0,14,0,14,0,14
2024,06037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,57,55,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,57,55,0,14
2024,06037910814,Census Tract 9108.14,Agua Dulce,Los Angeles County,California,AguaDulce,100,65,0,14,39,35,0,14,23,38,0,14,0,14,0,14,0,14,28,31,10,17
2024,06037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,932,152,46,45,72,52,122,91,79,58,164,83,49,43,53,43,115,64,208,82,24,20
2024,06037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,1344,149,3,5,149,92,69,47,250,127,222,139,104,73,140,92,22,25,315,114,70,52
