YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M
2018,06037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,91,42,0,12,29,33,0,12,28,35,10,17,0,12,0,12,0,12,24,22,0,12
2018,06037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,74,38,0,12,0,12,13,19,8,13,0,12,0,12,0,12,0,12,29,22,24,25
2018,06037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,158,93,0,12,40,44,10,16,9,16,0,12,9,14,0,12,13,20,51,57,26,41
2018,06037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,20,17,0,12,4,6,0,12,0,12,0,12,9,14,0,12,3,4,4,6,0,12
2018,06037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,89,44,0,12,17,20,0,12,9,15,0,12,0,12,0,12,8,13,21,23,34,21
2018,06037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,326,139,0,17,9,16,57,65,101,100,69,67,0,17,34,53,29,34,27,33,0,17
2018,06037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,363,97,28,24,11,16,62,56,39,50,7,12,26,24,0,12,53,57,90,56,47,55
2018,06037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,994,180,22,36,38,39,206,117,93,82,117,80,116,84,25,30,71,57,290,127,16,24
2018,06037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,482,99,5,10,76,66,41,33,45,30,52,37,19,21,41,32,87,68,116,66,0,12
2018,06037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,1087,156,21,34,47,43,70,72,62,50,123,88,48,48,0,17,91,94,535,168,90,90
2018,06037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,171,110,0,17,0,17,9,15,0,17,12,18,29,33,0,17,9,15,69,95,43,47
2018,06037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,74,38,0,12,0,12,13,19,8,13,0,12,0,12,0,12,0,12,29,22,24,25
2018,06037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,79,48,0,12,0,12,7,12,0,12,12,18,33,34,0,12,8,12,15,23,4,9
