YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M
2011,06037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,16,20,0,95,0,95,0,95,0,95,12,18,0,95,0,95,0,95,4,8,0,95
2011,06037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,122,77,0,95,0,95,10,17,11,17,0,95,34,53,26,34,11,18,30,48,0,95
2011,06037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,155,86,0,95,24,27,0,95,0,95,0,95,38,41,0,95,52,61,33,41,8,13
2011,06037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,5,8,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,5,8,0,95
2011,06037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,109,88,0,95,0,95,10,16,0,95,0,95,10,17,75,81,0,95,14,21,0,95
2011,06037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,321,127,0,95,14,21,0,95,63,60,22,24,79,73,0,95,0,95,98,88,45,55
2011,06037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,431,106,28,33,26,29,63,53,71,52,22,34,51,51,12,20,34,32,113,81,11,17
2011,06037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,778,198,28,33,31,52,29,36,22,26,206,133,17,29,0,95,27,29,418,153,0,95
2011,06037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,446,132,17,22,46,63,38,43,53,80,0,95,81,62,12,18,37,35,117,80,45,53
2011,06037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,928,148,95,76,34,33,70,62,174,113,57,61,100,82,0,95,55,43,303,115,40,50
2011,06037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,127,98,0,95,0,95,0,95,30,55,0,95,0,95,0,95,0,95,13,21,84,74
2011,06037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,122,77,0,95,0,95,10,17,11,17,0,95,34,53,26,34,11,18,30,48,0,95
2011,06037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,84,64,8,13,0,95,0,95,0,95,29,42,11,18,0,95,0,95,29,32,7,11
2011,06037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,51,37,0,95,34,35,0,95,0,95,0,95,0,95,0,95,3,6,0,95,14,17
2011,06037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,109,88,0,95,0,95,10,16,0,95,0,95,10,17,75,81,0,95,14,21,0,95
2011,06037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,1021,114,22,23,112,67,194,96,67,46,141,57,93,64,70,52,110,73,158,66,54,49
2011,06037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,1193,124,19,31,10,20,268,116,162,102,115,77,97,79,118,100,193,98,211,86,0,95
2011,06037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,1391,120,64,79,116,74,115,81,113,83,97,72,83,64,49,42,232,113,501,156,21,24
2011,06037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,1019,188,44,68,61,41,191,118,135,77,137,91,49,49,9,17,37,40,315,155,41,40
2011,06037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,911,141,53,42,90,64,117,63,98,65,73,42,93,82,102,84,53,52,193,88,39,38
2011,06037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,1227,120,32,27,141,94,233,72,221,94,106,81,44,34,27,25,173,74,183,85,67,52
2011,06037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,442,98,55,60,81,63,42,51,51,42,22,25,9,13,41,48,48,49,74,58,19,22
2011,06037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,338,102,0,95,49,50,57,58,58,39,41,43,12,19,11,18,42,40,40,32,28,44
2011,06037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,1394,130,84,68,89,42,243,93,129,62,140,64,133,88,41,41,134,74,335,127,66,56
2011,06037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,1176,127,8,12,106,71,108,73,160,85,157,97,114,73,53,37,138,81,281,107,51,48
2011,06037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,1227,102,33,45,119,65,204,87,78,60,47,45,67,58,81,55,276,113,280,103,42,47
2011,06037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,458,82,24,24,0,95,30,35,18,24,9,17,28,34,38,43,71,69,172,72,68,49
2011,06037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,766,172,21,25,36,45,52,47,80,62,36,27,70,48,105,82,44,42,322,114,0,95
2011,06037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,1365,164,84,69,15,23,112,61,151,79,100,52,229,113,64,37,141,72,401,129,68,65
2011,06037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,502,112,0,95,21,23,31,29,60,41,69,75,51,39,64,42,72,78,61,41,73,50
2011,06037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,830,101,0,95,77,52,72,66,99,62,98,71,36,32,59,45,102,69,276,94,11,17
2011,06037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,845,101,0,95,73,59,25,24,66,52,194,93,63,58,0,95,112,72,300,101,12,19
2011,06037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,534,139,0,95,15,24,127,91,77,81,53,46,29,37,0,95,0,95,233,100,0,95
2011,06037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,1095,140,0,95,74,65,72,67,110,74,106,68,32,41,92,68,81,56,484,140,44,53
2011,06037481800,Census Tract 4818,Alhambra,Los Angeles County,California,Alhambra,169,70,4,6,6,13,45,39,13,20,0,95,9,15,8,13,0,95,27,29,57,41
