YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M
2013,06037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,58,44,0,12,0,12,0,12,17,19,25,37,3,10,0,12,0,12,13,17,0,12
2013,06037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,106,69,0,12,0,12,0,12,11,17,10,15,0,12,37,40,12,19,0,12,36,56
2013,06037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,278,122,0,12,0,12,57,62,0,12,0,12,87,71,0,12,50,59,76,75,8,11
2013,06037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,5,8,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,8,0,12
2013,06037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,114,93,0,12,0,12,0,12,0,12,0,12,12,18,91,91,0,12,11,18,0,12
2013,06037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,363,167,0,17,51,83,0,17,65,65,8,14,50,63,0,17,0,17,136,113,53,63
2013,06037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,391,113,25,30,36,29,62,54,18,27,40,59,37,46,0,17,54,42,107,61,12,19
2013,06037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,911,181,18,28,17,27,49,47,18,29,194,128,28,39,0,17,13,22,574,161,0,17
2013,06037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,468,107,29,32,0,12,22,25,53,61,29,34,74,59,31,33,64,56,158,85,8,12
2013,06037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,886,147,86,72,21,24,83,62,36,32,109,78,84,55,40,38,129,83,224,105,74,75
2013,06037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,183,107,0,17,0,17,27,31,48,72,0,17,0,17,0,17,33,53,12,20,63,62
2013,06037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,106,69,0,12,0,12,0,12,11,17,10,15,0,12,37,40,12,19,0,12,36,56
2013,06037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,43,37,0,12,7,11,0,12,0,12,0,12,12,18,0,12,0,12,24,35,0,12
2013,06037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,55,40,0,12,24,34,0,12,0,12,4,6,0,12,0,12,3,6,4,6,20,18
2013,06037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,114,93,0,12,0,12,0,12,0,12,0,12,12,18,91,91,0,12,11,18,0,12
2013,06037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,1059,110,13,17,69,46,197,81,135,50,81,44,124,70,42,39,120,72,235,84,43,45
2013,06037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,1154,126,31,31,107,79,188,100,101,81,137,78,42,37,112,69,151,75,228,92,57,45
2013,06037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,1417,152,36,55,161,76,124,83,92,52,102,72,105,74,55,46,171,100,534,137,37,32
2013,06037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,1204,161,68,54,113,79,221,105,237,113,67,55,61,44,77,84,49,79,273,134,38,37
2013,06037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,1023,136,61,51,93,66,89,57,125,92,156,87,88,66,59,57,69,65,251,107,32,38
2013,06037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,1248,108,57,55,168,93,239,100,155,71,104,66,70,56,20,21,118,57,247,77,70,49
2013,06037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,430,102,17,20,46,40,73,66,80,52,11,18,14,23,77,56,16,18,74,52,22,20
2013,06037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,429,107,0,12,51,39,85,69,103,65,28,27,15,23,18,22,76,60,45,33,8,13
2013,06037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,1415,109,17,19,95,67,225,107,135,69,159,87,184,91,81,61,137,70,284,110,98,71
2013,06037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,1115,111,0,12,132,68,98,78,120,78,69,45,79,62,54,41,141,65,342,118,80,53
2013,06037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,1080,111,21,34,85,65,142,71,55,36,60,36,46,67,100,69,214,87,312,108,45,42
2013,06037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,472,107,13,21,28,23,48,56,43,26,19,22,43,34,51,51,31,43,130,66,66,46
2013,06037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,811,134,7,12,45,39,53,38,145,86,38,35,56,42,80,63,80,61,307,97,0,12
2013,06037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,1363,160,83,76,11,17,90,53,101,76,230,128,216,134,50,38,193,104,309,109,80,75
2013,06037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,630,110,30,48,52,58,12,18,47,33,79,64,40,31,35,20,83,65,161,84,91,71
2013,06037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,822,97,9,14,76,45,93,68,80,56,90,59,13,18,48,48,116,64,269,100,28,35
2013,06037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,781,93,18,20,61,36,13,15,137,69,126,76,6,10,21,33,70,50,308,105,21,22
2013,06037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,750,114,26,39,43,35,94,85,137,93,99,69,57,42,8,12,13,18,248,110,25,24
2013,06037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,960,121,0,12,68,57,40,36,96,68,115,68,86,67,16,25,77,37,440,113,22,24
2013,06037481800,Census Tract 4818,Alhambra,Los Angeles County,California,Alhambra,146,66,3,6,7,11,24,20,13,20,7,11,8,14,13,18,0,12,38,37,33,21
2013,06037481901,Census Tract 4819.01,Alhambra,Los Angeles County,California,Alhambra,717,136,0,17,46,35,121,68,7,11,92,74,85,91,66,54,77,81,140,62,83,63
2013,06037481902,Census Tract 4819.02,Alhambra,Los Angeles County,California,Alhambra,654,107,0,12,101,75,75,66,107,67,135,82,35,48,41,52,72,62,68,47,20,21
2013,06037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,281,86,0,17,9,15,12,15,0,17,0,17,38,50,49,53,39,38,109,64,25,22
2013,06037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,1713,138,33,47,116,77,178,102,207,93,201,100,120,77,192,89,165,106,412,134,89,74
2013,06037460100,Census Tract 4601,Altadena,Los Angeles County,California,Altadena,276,98,0,17,0,17,52,56,20,32,26,31,20,31,11,18,0,17,130,99,17,27
2013,06037460200,Census Tract 4602,Altadena,Los Angeles County,California,Altadena,573,130,0,17,68,72,102,90,100,73,0,17,102,98,40,46,79,83,36,42,46,45
2013,06037460301,Census Tract 4603.01,Altadena,Los Angeles County,California,Altadena,166,75,0,12,0,12,10,16,17,20,0,12,0,12,10,15,38,37,74,58,17,21
2013,06037460302,Census Tract 4603.02,Altadena,Los Angeles County,California,Altadena,286,101,0,12,49,47,0,12,22,21,47,34,0,12,27,23,0,12,130,69,11,18
2013,06037460900,Census Tract 4609,Altadena,Los Angeles County,California,Altadena,847,154,16,24,9,15,84,80,84,76,25,26,54,61,75,70,99,76,361,114,40,62
2013,06037461000,Census Tract 4610,Altadena,Los Angeles County,California,Altadena,607,127,20,32,31,33,15,17,34,41,71,59,57,47,35,35,104,65,191,87,49,42
2013,06037461100,Census Tract 4611,Altadena,Los Angeles County,California,Altadena,756,131,20,23,96,75,69,64,104,74,69,49,29,26,88,67,108,78,162,75,11,17
2013,06037461200,Census Tract 4612,Altadena,Los Angeles County,California,Altadena,332,111,16,26,11,18,40,35,31,22,67,52,38,48,0,12,44,32,46,48,39,49
2013,06037461300,Census Tract 4613,Altadena,Los Angeles County,California,Altadena,1211,202,0,17,136,100,132,86,173,111,88,66,130,109,108,88,88,80,335,133,21,35
2013,06037462500,Census Tract 4625,Altadena,Los Angeles County,California,Altadena,660,163,0,17,52,55,80,74,63,54,61,56,82,79,47,69,92,84,183,126,0,17
2013,06037430400,Census Tract 4304,Arcadia,Los Angeles County,California,Arcadia,240,93,25,40,18,21,0,12,62,53,0,12,0,12,23,25,25,39,56,51,31,27
2013,06037430600,Census Tract 4306,Arcadia,Los Angeles County,California,Arcadia,172,66,0,12,28,30,0,12,17,18,35,40,0,12,0,12,0,12,62,43,30,22
2013,06037430701,Census Tract 4307.01,Arcadia,Los Angeles County,California,Arcadia,706,97,0,17,69,42,81,64,43,51,79,48,100,74,16,18,69,54,217,99,32,32
2013,06037430721,Census Tract 4307.21,Arcadia,Los Angeles County,California,Arcadia,466,114,0,12,29,27,68,58,52,36,37,31,12,18,48,34,51,55,126,82,43,43
2013,06037430723,Census Tract 4307.23,Arcadia,Los Angeles County,California,Arcadia,1106,136,6,12,116,80,84,35,137,66,97,62,63,68,56,40,94,55,317,106,136,76
2013,06037430724,Census Tract 4307.24,Arcadia,Los Angeles County,California,Arcadia,1447,147,8,13,151,85,348,108,84,39,133,82,108,61,37,31,40,37,438,120,100,46
2013,06037430801,Census Tract 4308.01,Arcadia,Los Angeles County,California,Arcadia,1545,182,45,47,209,128,198,106,166,92,122,78,61,52,159,112,88,48,414,142,83,81
2013,06037430802,Census Tract 4308.02,Arcadia,Los Angeles County,California,Arcadia,367,87,43,46,42,51,53,59,35,35,0,12,20,21,11,18,10,16,16,27,137,56
2013,06037430803,Census Tract 4308.03,Arcadia,Los Angeles County,California,Arcadia,368,96,60,65,15,16,29,25,37,31,9,16,51,51,8,13,17,21,102,71,40,47
2013,06037430902,Census Tract 4309.02,Arcadia,Los Angeles County,California,Arcadia,882,151,31,42,43,39,213,110,26,32,48,35,111,76,27,24,99,75,284,110,0,12
2013,06037431300,Census Tract 4313,Arcadia,Los Angeles County,California,Arcadia,209,68,0,12,42,44,40,23,28,21,18,22,12,13,8,13,11,16,39,32,11,10
2013,06037431400,Census Tract 4314,Arcadia,Los Angeles County,California,Arcadia,302,102,0,12,0,12,32,35,31,37,55,63,88,60,0,12,12,16,46,35,38,45
2013,06037431502,Census Tract 4315.02,Arcadia,Los Angeles County,California,Arcadia,423,125,0,12,23,21,35,32,27,27,33,32,76,59,48,62,0,12,107,59,74,69
2013,06037431600,Census Tract 4316,Arcadia,Los Angeles County,California,Arcadia,219,65,12,20,0,12,13,21,51,34,10,16,9,14,13,20,27,30,84,49,0,12
2013,06037431700,Census Tract 4317,Arcadia,Los Angeles County,California,Arcadia,467,159,12,18,9,16,109,85,11,17,63,51,42,35,71,64,0,17,82,91,68,61
