YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M
2017,06037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,103,56,0,12,31,38,0,12,38,38,11,17,0,12,0,12,0,12,23,23,0,12
2017,06037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,96,58,0,12,0,12,0,12,12,19,13,18,0,12,6,11,0,12,19,21,46,49
2017,06037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,265,121,0,12,16,17,62,54,10,15,0,12,54,56,0,12,0,12,98,83,25,40
2017,06037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,16,16,0,12,0,12,0,12,0,12,0,12,9,15,0,12,3,4,4,6,0,12
2017,06037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,82,44,0,12,12,19,0,12,12,19,0,12,0,12,8,13,11,15,10,16,29,20
2017,06037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,393,131,0,17,59,74,66,58,94,90,54,61,0,17,36,58,14,24,70,56,0,17
2017,06037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,360,105,38,28,12,19,65,52,45,58,10,17,43,47,0,17,24,28,78,52,45,53
2017,06037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,990,187,27,40,45,35,172,116,80,70,90,51,155,107,13,20,43,41,352,131,13,21
2017,06037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,469,86,0,12,8,12,45,32,35,25,73,60,14,16,35,26,132,73,120,77,7,11
2017,06037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,963,189,0,17,14,25,48,52,78,60,104,68,74,57,16,25,145,144,419,195,65,73
2017,06037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,227,118,0,17,0,17,25,31,22,32,12,19,27,30,0,17,60,74,59,87,22,34
2017,06037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,96,58,0,12,0,12,0,12,12,19,13,18,0,12,6,11,0,12,19,21,46,49
2017,06037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,89,52,0,12,9,14,10,16,0,12,9,14,30,30,0,12,10,16,15,22,6,10
2017,06037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,20,20,0,12,0,12,12,16,0,12,0,12,0,12,0,12,0,12,0,12,8,12
2017,06037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,82,44,0,12,12,19,0,12,12,19,0,12,0,12,8,13,11,15,10,16,29,20
2017,06037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,1045,100,59,46,80,67,72,44,53,35,90,43,111,62,48,34,99,83,404,100,29,30
2017,06037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,1102,99,50,44,183,86,90,50,82,53,61,40,73,40,107,66,111,58,279,69,66,42
2017,06037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,1520,103,34,31,126,61,123,49,87,39,127,57,146,76,111,70,115,67,572,131,79,49
2017,06037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,1192,166,0,17,100,106,186,99,244,135,100,81,47,47,108,76,154,98,199,101,54,44
2017,06037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,813,144,31,36,91,87,139,68,171,78,63,52,92,55,17,27,52,66,157,73,0,17
2017,06037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,1235,123,47,41,136,64,174,67,243,94,67,39,112,52,53,29,82,44,263,90,58,50
2017,06037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,383,102,7,11,41,34,44,44,72,57,18,21,55,57,41,48,0,12,38,49,67,51
2017,06037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,530,125,8,13,75,65,54,45,63,66,25,23,32,40,77,56,53,46,114,66,29,30
2017,06037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,1349,117,39,43,153,84,207,96,88,43,190,80,93,61,74,45,111,65,359,116,35,46
