YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M
2012,06037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,42,44,0,13,0,13,0,13,0,13,27,39,9,14,0,13,0,13,6,10,0,13
2012,06037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,93,72,0,13,0,13,10,15,10,16,0,13,34,53,27,38,12,19,0,13,0,13
2012,06037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,133,79,0,13,10,16,0,13,0,13,0,13,41,50,0,13,44,58,30,42,8,12
2012,06037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,5,8,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,5,8,0,13
2012,06037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,118,96,0,13,0,13,10,17,0,13,0,13,15,23,80,90,0,13,13,21,0,13
2012,06037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,288,133,0,18,0,18,0,18,83,84,31,29,61,60,0,18,0,18,97,95,16,38
2012,06037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,427,107,28,30,27,30,42,39,81,58,45,59,48,50,10,16,45,40,91,51,10,15
2012,06037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,865,186,26,35,0,13,32,31,24,27,250,140,0,13,0,13,12,19,521,150,0,13
2012,06037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,474,132,23,26,21,33,6,11,59,72,12,19,118,84,23,28,28,33,170,100,14,25
2012,06037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,939,168,94,65,50,40,68,58,114,80,120,98,71,59,25,29,96,66,269,124,32,36
2012,06037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,136,96,0,18,0,18,9,18,25,48,0,18,0,18,0,18,0,18,14,24,88,73
2012,06037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,93,72,0,13,0,13,10,15,10,16,0,13,34,53,27,38,12,19,0,13,0,13
2012,06037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,64,59,0,13,0,13,0,13,0,13,30,45,10,18,0,13,0,13,17,26,7,13
2012,06037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,35,29,0,13,16,25,0,13,0,13,3,5,0,13,0,13,1,5,3,6,12,13
2012,06037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,118,96,0,13,0,13,10,17,0,13,0,13,15,23,80,90,0,13,13,21,0,13
2012,06037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,1050,115,26,23,129,67,223,94,129,62,111,47,84,55,21,24,88,60,187,72,52,54
2012,06037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,1153,135,12,21,23,27,242,98,146,107,148,85,92,75,98,72,159,95,212,99,21,33
2012,06037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,1402,128,44,68,142,107,98,59,88,67,114,74,107,70,56,37,262,145,464,141,27,32
2012,06037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,1260,176,95,87,91,71,212,106,186,95,177,109,46,43,76,77,42,48,257,125,78,55
2012,06037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,973,142,56,49,91,54,117,85,92,71,138,86,82,69,83,71,48,46,236,110,30,35
2012,06037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,1237,116,61,56,145,74,191,86,208,91,118,81,28,26,30,28,133,71,245,83,78,40
2012,06037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,458,114,55,59,46,42,40,46,86,61,24,27,0,13,81,57,25,23,73,53,28,27
2012,06037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,410,105,0,13,61,42,92,68,74,55,54,59,14,21,8,13,57,45,42,31,8,13
2012,06037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,1427,131,30,29,73,48,221,103,132,73,148,72,158,107,72,70,162,77,326,126,105,63
2012,06037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,1142,118,0,13,128,62,121,76,171,99,89,49,93,62,45,35,143,65,265,104,87,48
2012,06037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,1098,115,0,13,114,87,190,84,105,66,47,35,51,58,63,40,217,100,269,102,42,39
2012,06037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,544,104,28,33,9,12,67,61,49,47,15,23,49,43,36,37,23,32,180,81,88,63
2012,06037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,784,153,9,14,32,33,38,37,119,75,47,39,74,54,115,85,44,33,306,94,0,13
2012,06037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,1335,160,99,85,21,26,131,82,157,77,84,54,195,99,63,48,184,87,329,136,72,71
2012,06037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,562,121,28,44,19,21,12,19,50,36,85,72,43,32,37,33,116,102,78,47,94,63
2012,06037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,809,92,0,13,67,47,76,60,77,59,115,82,26,26,43,34,91,56,274,92,40,40
2012,06037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,767,97,8,13,53,31,23,19,67,44,140,81,35,45,25,38,76,55,324,95,16,23
2012,06037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,594,121,0,13,7,13,95,83,113,77,59,45,54,46,0,13,9,14,239,92,18,24
2012,06037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,990,152,0,13,72,66,35,39,71,63,117,65,36,42,38,45,75,55,490,134,56,52
2012,06037481800,Census Tract 4818,Alhambra,Los Angeles County,California,Alhambra,123,53,2,4,0,13,22,23,12,17,0,13,9,13,10,15,0,13,26,28,42,26
2012,06037481901,Census Tract 4819.01,Alhambra,Los Angeles County,California,Alhambra,600,143,0,18,47,41,105,69,6,12,98,68,75,76,36,40,72,79,112,65,49,41
2012,06037481902,Census Tract 4819.02,Alhambra,Los Angeles County,California,Alhambra,586,83,0,13,73,64,22,28,124,81,142,75,7,12,62,68,81,71,62,50,13,17
2012,06037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,324,110,0,18,0,18,32,35,35,40,0,18,35,50,38,34,59,53,103,68,22,20
2012,06037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,1643,131,30,42,94,81,155,83,153,81,170,102,72,66,183,108,146,76,590,142,50,66
2012,06037460100,Census Tract 4601,Altadena,Los Angeles County,California,Altadena,271,101,0,18,0,18,58,52,0,18,23,26,0,18,15,24,0,18,145,86,30,35
